TimesH,Frame,NoMissing,111,111,122,122,142,142,173,173,176,176,179,179,181,181,184,184,185,185,186,186,187,187,195,195,208,208,210,210,219,219,221,221,222,222,225,225,228,228,229,229,230,230,238,238,248,248,249,249,251,251,254,254,256,256,263,263,266,266,271,271,273,273,280,280,285,285,288,288,290,290,296,296,305,305,455,455
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
8.25,33.0,,95.79700000000001,125.74600000000001,166.968,117.766,146.744,144.515,134.321,159.134,148.128,162.248,238.266,164.37400000000002,307.2,163.88099999999997,131.08700000000002,152.373,123.855,150.792,208.53099999999998,154.885,228.71200000000002,152.27100000000002,247.635,157.49,126.667,175.891,81.49,177.713,264.493,166.868,224.447,170.074,94.556,169.78099999999998,210.49900000000002,170.00599999999997,245.81799999999998,169.888,121.744,185.517,284.682,184.21400000000003,56.663000000000004,188.032,303.998,176.38400000000001,263.228,179.547,51.621,180.28900000000002,72.047,181.778,293.58299999999997,181.636,255.7,195.81599999999997,237.157,196.858,119.602,201.109,259.20099999999996,200.88,228.34599999999998,191.072,138.339,193.113,109.744,194.275,279.16900000000004,192.731,75.406,211.683,,,255.43900000000002,149.148
8.5,34.0,,95.844,125.649,166.92700000000002,117.685,146.736,144.504,134.371,159.097,148.091,162.202,238.239,164.355,307.233,163.865,131.10299999999998,152.366,123.97399999999999,150.689,208.52700000000002,154.876,228.696,152.21200000000002,247.585,157.57,126.616,175.77900000000002,81.488,177.68,264.522,166.82299999999998,224.446,170.08700000000002,94.55799999999999,169.77900000000002,210.41400000000002,169.99200000000002,245.787,169.898,121.74799999999999,185.53799999999998,284.635,184.18200000000002,56.635,187.963,303.961,176.33,263.22900000000004,179.535,51.568000000000005,180.293,72.078,181.813,293.633,181.63,255.729,195.797,237.139,196.842,119.59899999999999,201.108,259.19,200.862,228.421,191.072,138.368,193.115,109.73899999999999,194.283,279.176,192.705,75.288,211.553,,,255.482,149.167
8.75,35.0,,95.705,125.56,166.97400000000002,117.594,146.692,144.493,134.36,159.121,148.094,162.18,238.218,164.32,307.248,163.817,131.089,152.313,123.949,150.645,208.52900000000002,154.972,228.65900000000002,152.16299999999998,247.498,157.597,126.677,175.766,81.53699999999999,177.63,264.573,166.8,224.437,170.085,94.539,169.75900000000001,210.403,169.968,245.765,169.868,121.75,185.517,284.619,184.18099999999998,56.641000000000005,187.912,303.995,176.321,263.233,179.493,51.586999999999996,180.294,72.046,181.791,293.63599999999997,181.622,255.74900000000002,195.792,237.06799999999998,196.856,119.613,201.118,259.158,200.875,228.429,191.067,138.332,193.127,109.801,194.22099999999998,279.211,192.68400000000003,75.313,211.472,,,255.543,148.946
9.0,36.0,,95.46700000000001,125.43700000000001,166.986,117.545,146.701,144.495,134.33700000000002,159.101,148.19,162.092,238.17,164.283,307.31,163.795,131.02,152.305,123.93299999999999,150.649,208.549,154.933,228.636,152.135,247.47400000000002,157.513,126.676,175.727,81.551,177.607,264.582,166.77599999999998,224.43,170.06900000000002,94.54,169.757,210.442,169.97400000000002,245.74599999999998,169.859,121.759,185.50599999999997,284.603,184.18099999999998,56.613,187.90900000000002,303.993,176.31,263.274,179.505,51.651,180.423,72.015,181.72400000000002,293.651,181.62,255.775,195.77200000000002,237.048,196.83599999999998,119.691,201.06099999999998,259.18,200.882,228.38099999999997,190.99099999999999,138.314,193.097,109.85600000000001,194.29,279.25,192.66099999999997,75.508,211.479,,,255.53400000000002,149.062
9.25,37.0,,95.50399999999999,125.37899999999999,166.99400000000003,117.545,146.731,144.475,134.35,159.085,148.217,162.06799999999998,238.149,164.27200000000002,307.4,163.768,131.003,152.32399999999998,123.881,150.624,208.576,154.86700000000002,228.601,152.10399999999998,247.488,157.532,126.70200000000001,175.71599999999998,81.53699999999999,177.577,264.637,166.755,224.42700000000002,170.078,94.536,169.74,210.364,169.96,245.775,169.84900000000002,121.78399999999999,185.50099999999998,284.62,184.137,56.593999999999994,187.91400000000002,304.035,176.291,263.276,179.485,51.64,180.392,72.015,181.692,293.752,181.52200000000002,255.80900000000003,195.738,237.05200000000002,196.829,119.70200000000001,201.08,259.17,200.87900000000002,228.335,190.97,138.342,193.044,109.88,194.187,279.26599999999996,192.627,75.637,211.265,,,255.519,149.035
9.5,38.0,,95.48700000000001,125.413,167.00400000000002,117.536,146.753,144.459,134.385,159.061,148.221,162.037,238.146,164.243,307.377,163.784,130.972,152.355,123.993,150.517,208.58900000000003,154.852,228.55900000000003,152.064,247.472,157.468,126.698,175.68099999999998,81.561,177.52700000000002,264.663,166.733,224.438,170.044,94.51899999999999,169.725,210.327,169.951,245.90599999999998,169.855,121.79,185.53,284.626,184.082,56.542,187.896,304.02099999999996,176.273,263.27099999999996,179.46200000000002,51.674,180.36900000000003,71.973,181.709,293.776,181.49400000000003,255.81,195.736,237.097,196.84799999999998,119.78299999999999,201.016,259.12,200.919,228.31,190.94400000000002,138.234,193.019,109.895,194.17700000000002,279.275,192.613,75.604,211.261,289.0,200.0,255.59400000000002,149.124
9.75,39.0,,95.588,125.4,166.981,117.53200000000001,146.766,144.454,134.366,159.07299999999998,148.217,161.985,238.136,164.236,307.322,163.80700000000002,131.047,152.379,124.023,150.437,208.61700000000002,154.803,228.511,152.045,247.43599999999998,157.53,126.698,175.667,81.617,177.495,264.676,166.722,224.428,170.053,94.515,169.717,210.28599999999997,169.958,245.94400000000002,169.872,121.792,185.519,284.655,184.067,56.534,187.86700000000002,304.03,176.26,263.276,179.40400000000002,51.733000000000004,180.25400000000002,71.971,181.705,293.785,181.487,255.864,195.729,237.09,196.84599999999998,119.75200000000001,201.081,259.087,200.945,228.34799999999998,190.90599999999998,138.165,193.023,109.911,194.10299999999998,279.267,192.579,75.62899999999999,211.22299999999998,289.362,199.822,255.553,149.17600000000002
10.0,40.0,,95.697,125.387,167.023,117.522,146.774,144.446,134.359,159.06,148.23,161.93200000000002,238.11599999999999,164.21900000000002,307.313,163.786,130.986,152.327,124.124,150.425,208.625,154.796,228.514,152.04399999999998,247.392,157.52,126.684,175.64700000000002,81.645,177.47400000000002,264.695,166.697,224.41400000000002,170.065,94.509,169.713,210.331,169.96099999999998,245.90400000000002,169.83,121.79299999999999,185.518,284.682,184.054,56.516000000000005,187.858,303.97700000000003,176.308,263.253,179.355,51.693999999999996,180.207,71.969,181.745,293.80400000000003,181.475,255.89,195.722,237.051,196.835,119.693,201.111,259.058,200.956,228.334,190.91099999999997,138.099,193.037,109.863,194.00400000000002,279.27299999999997,192.558,75.48899999999999,211.09,289.475,199.804,255.593,149.105
10.25,41.0,,95.728,125.285,167.043,117.48100000000001,146.78,144.44899999999998,134.369,159.032,148.218,161.935,238.12,164.19799999999998,307.209,163.832,130.99200000000002,152.415,124.211,150.28,208.62599999999998,154.786,228.495,152.039,247.39,157.464,126.555,175.62400000000002,81.695,177.46099999999998,264.707,166.672,224.415,170.062,94.521,169.705,210.34900000000002,169.977,245.94099999999997,169.87099999999998,121.801,185.437,284.677,184.032,56.486000000000004,187.856,304.018,176.278,263.253,179.29,51.74100000000001,180.19299999999998,72.04899999999999,181.78400000000002,293.767,181.476,255.922,195.718,236.983,196.826,119.65299999999999,201.081,259.001,200.993,228.33599999999998,190.857,138.102,193.00900000000001,109.885,193.955,279.27,192.547,75.476,211.107,289.573,199.767,255.62099999999998,148.86
10.5,42.0,,95.75200000000001,125.3,167.114,117.43799999999999,146.8,144.451,134.385,158.995,148.205,161.884,238.08599999999998,164.158,307.27099999999996,163.812,130.97,152.412,124.43700000000001,150.153,208.618,154.74200000000002,228.50599999999997,152.013,247.36599999999999,157.528,126.568,175.59900000000002,81.691,177.438,264.751,166.675,224.40200000000002,170.093,94.505,169.696,210.315,169.955,246.075,169.908,121.81200000000001,185.40200000000002,284.684,184.007,56.471000000000004,187.831,304.01599999999996,176.25,263.27099999999996,179.253,51.766000000000005,180.33900000000003,72.047,181.762,293.73400000000004,181.47099999999998,255.94299999999998,195.696,236.979,196.81,119.59299999999999,201.16,258.954,201.035,228.24,190.84099999999998,138.1,193.018,109.866,193.88400000000001,279.276,192.53900000000002,75.52199999999999,211.112,289.496,199.791,255.687,148.838
