TimesH,Frame,NoMissing,40,40,48,48,53,53,60,60,73,73,76,76,92,92,102,102,103,103,104,104,105,105,106,106,110,110,114,114,116,116,130,130,131,131,132,132,142,142,148,148,149,149,156,156,157,157,161,161,164,164,167,167,169,169,170,170,173,173,183,183,184,184,188,188,195,195,202,202,208,208,214,214,225,225,226,226,241,241,242,242,324,324,361,361,404,404,439,439,456,456,599,599,678,678,684,684,687,687,722,722
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
145.5,582.0,,106.14,139.732,92.68700000000001,145.062,127.96700000000001,127.92299999999999,292.548,134.576,92.512,121.566,233.0,122.536,277.388,167.343,134.293,170.593,254.65400000000002,169.47299999999998,293.782,172.34099999999998,242.638,172.12900000000002,98.561,173.079,242.08900000000003,160.91899999999998,136.25799999999998,162.487,307.166,163.154,126.788,157.069,73.256,158.313,256.06,156.8,125.85,147.125,226.72,148.579,283.506,150.02,300.062,191.933,86.79299999999999,193.7,115.66,195.97400000000002,288.086,195.548,126.609,198.542,53.652,185.31099999999998,306.846,185.635,260.134,186.717,136.871,190.86,68.571,178.96900000000002,146.501,179.729,274.302,182.59900000000002,84.115,174.15900000000002,260.57599999999996,176.13299999999998,110.436,178.014,146.188,206.96099999999998,56.507,209.365,254.851,201.085,135.872,200.921,,,,,,,,,,,,,,,,,,,,
145.75,583.0,,106.102,139.737,92.64299999999999,145.03799999999998,127.961,127.95,292.55400000000003,134.567,92.505,121.56200000000001,232.998,122.535,277.403,167.325,134.31799999999998,170.55700000000002,254.54,169.308,293.753,172.325,243.046,172.155,98.507,173.095,242.05,160.908,136.24,162.524,307.191,163.138,126.834,157.082,73.29899999999999,158.31799999999998,256.05400000000003,156.80100000000002,125.82700000000001,147.099,226.731,148.571,283.466,150.03,300.045,191.919,86.792,193.699,115.37299999999999,195.99900000000002,288.092,195.53799999999998,126.477,198.43599999999998,53.657,185.312,306.875,185.639,260.111,186.76,136.88,190.84900000000002,68.69800000000001,179.195,146.502,179.718,274.27099999999996,182.588,84.125,174.138,260.569,176.185,110.447,178.005,146.243,206.958,56.633,209.338,254.88,201.078,135.903,200.935,221.123,117.54299999999999,,,,,,,,,,,,,,,,,,
146.0,584.0,,106.089,139.721,92.68299999999999,145.023,127.962,127.95100000000001,292.531,134.441,92.509,121.554,233.012,122.54299999999999,277.426,167.36900000000003,134.291,170.513,254.648,169.52900000000002,293.737,172.30700000000002,243.06799999999998,172.15099999999998,98.479,173.16400000000002,242.058,160.916,136.209,162.571,307.20099999999996,163.116,126.834,157.095,73.378,158.334,256.052,156.806,125.876,147.14600000000002,226.74,148.566,283.44,150.009,300.028,191.97799999999998,86.8,193.695,115.00200000000001,196.067,288.111,195.533,126.461,198.416,53.655,185.31,306.875,185.628,260.10200000000003,186.78400000000002,136.895,190.84799999999998,68.633,179.138,146.57,179.736,274.265,182.588,84.12299999999999,174.141,260.519,176.326,110.429,178.02,146.25799999999998,206.94299999999998,56.61600000000001,209.25099999999998,254.919,201.081,135.928,200.96099999999998,221.15900000000002,117.665,,,,,,,,,,,,,,,,,,
146.25,585.0,,106.089,139.72299999999998,92.76299999999999,145.001,127.97200000000001,127.988,292.473,134.49,92.501,121.538,233.002,122.554,277.471,167.343,134.285,170.459,255.0,170.0,293.724,172.28799999999998,243.067,172.16400000000002,98.434,173.21200000000002,242.08599999999998,160.918,136.22799999999998,162.632,307.186,163.144,126.84299999999999,157.113,73.34100000000001,158.35299999999998,256.053,156.809,125.85700000000001,147.102,226.75900000000001,148.558,283.45799999999997,150.017,300.041,191.946,86.79,193.687,114.90700000000001,196.016,288.098,195.517,126.50200000000001,198.412,53.681999999999995,185.313,306.872,185.614,260.098,186.81799999999998,136.894,190.84599999999998,68.732,179.28400000000002,147.0,180.0,274.27099999999996,182.57299999999998,84.155,174.13,260.506,176.421,110.449,178.018,146.285,206.899,56.698,209.247,254.94299999999998,201.06400000000002,135.952,200.96599999999998,221.062,117.62700000000001,,,,,,,,,,,,,,,,,,
146.5,586.0,,106.06,139.697,92.523,144.601,127.975,127.969,292.693,134.532,92.49,121.536,233.04,122.52600000000001,277.45,167.327,134.287,170.398,255.0,170.0,293.714,172.28,242.822,172.174,98.447,173.2,242.035,160.924,136.22799999999998,162.683,307.191,163.142,126.869,157.107,73.40100000000001,158.37,256.05400000000003,156.814,125.939,147.17,226.761,148.555,283.502,150.015,299.966,191.861,86.79299999999999,193.68,114.899,195.982,288.118,195.511,126.444,198.377,53.675,185.30599999999998,306.87,185.58900000000003,260.07,186.82299999999998,136.891,190.84599999999998,68.73100000000001,179.237,146.58100000000002,179.697,274.322,182.608,84.155,174.12,260.47900000000004,176.5,110.47,178.003,146.284,206.872,56.75,209.225,254.96900000000002,201.07,135.929,201.005,221.196,117.727,,,,,,,,,,,,,,,,,,
146.75,587.0,,106.052,139.687,92.545,144.644,127.963,127.962,292.724,134.442,92.5,121.54299999999999,233.017,122.501,277.45799999999997,167.297,134.35299999999998,170.423,254.854,169.375,293.697,172.25400000000002,242.709,172.158,98.415,173.22,241.986,160.91299999999998,136.216,162.761,307.157,163.149,126.861,157.13,73.444,158.363,256.04,156.814,126.056,147.305,226.755,148.55700000000002,283.508,149.994,300.005,191.794,86.785,193.69099999999997,114.60600000000001,196.03400000000002,288.117,195.52,126.509,198.4,53.678000000000004,185.301,306.895,185.581,260.063,186.81400000000002,136.886,190.838,68.763,179.209,146.5,179.675,274.283,182.618,84.135,174.112,260.45799999999997,176.63099999999997,110.44,178.028,146.297,206.81799999999998,56.815,209.238,254.972,201.06900000000002,135.938,200.995,221.174,117.712,,,,,,,,,,,,,,,,,,
147.0,588.0,,106.054,139.684,92.29299999999999,144.082,127.988,127.934,292.73400000000004,134.379,92.507,121.516,232.995,122.51899999999999,277.468,167.299,134.39600000000002,170.43200000000002,254.863,168.93,293.677,172.25599999999997,242.636,172.138,98.376,173.217,241.93099999999998,160.887,136.161,162.88,307.152,163.15,126.87,157.151,73.417,158.346,256.034,156.814,126.11399999999999,147.35,226.769,148.537,283.51599999999996,150.002,300.165,191.78400000000002,86.76899999999999,193.674,114.59299999999999,196.012,288.095,195.517,126.49600000000001,198.388,53.676,185.296,306.883,185.565,259.968,186.854,136.899,190.821,68.8,179.21400000000003,146.738,179.771,274.296,182.613,84.095,174.115,260.437,176.66400000000002,110.37,178.078,146.282,206.86,56.81399999999999,209.142,254.984,201.06400000000002,135.967,201.00099999999998,221.105,117.885,,,,,,,,,,,,,,,,,,
147.25,589.0,,106.037,139.665,92.537,144.558,127.98,127.90700000000001,292.732,134.309,92.49600000000001,121.523,232.954,122.488,277.54,167.25799999999998,134.451,170.435,254.857,168.639,293.67900000000003,172.25599999999997,242.62,172.122,98.359,173.229,241.90599999999998,160.88299999999998,136.154,162.856,307.158,163.156,126.865,157.168,73.429,158.312,256.034,156.80200000000002,126.09100000000001,147.33700000000002,226.769,148.541,283.502,150.006,300.089,191.76,86.765,193.662,114.391,196.047,288.093,195.52200000000002,126.43299999999999,198.372,53.674,185.291,306.871,185.53,259.971,186.88400000000001,136.92600000000002,190.805,68.81,179.273,146.536,179.588,274.28700000000003,182.60299999999998,84.02,174.10299999999998,260.44599999999997,176.455,110.34299999999999,178.076,146.246,206.825,56.711999999999996,209.093,254.993,201.074,135.955,201.037,221.166,117.875,,,,,,,,,,,,,,,,,,
147.5,590.0,,106.024,139.668,92.395,144.24200000000002,127.995,127.884,292.678,134.359,92.47399999999999,121.512,232.958,122.494,277.627,167.27,134.42700000000002,170.34599999999998,254.862,168.688,293.661,172.24599999999998,242.407,172.082,98.32600000000001,173.253,241.93900000000002,160.874,136.17600000000002,162.884,307.10900000000004,163.185,126.874,157.191,73.406,158.295,256.026,156.80700000000002,126.10799999999999,147.343,226.75,148.529,283.52,150.028,300.209,191.645,86.78,193.65900000000002,114.37,196.063,288.096,195.525,126.42299999999999,198.36900000000003,53.681999999999995,185.282,307.01,185.487,259.973,186.905,136.922,190.80599999999998,68.815,179.233,146.537,179.59400000000002,274.289,182.609,84.012,174.108,260.404,176.763,110.25200000000001,178.12900000000002,146.257,206.83700000000002,56.678999999999995,209.015,255.017,201.05900000000003,135.944,201.041,221.015,117.785,,,,,,,,,,,,,,,,,,
147.75,591.0,,105.992,139.668,92.325,144.136,127.984,127.89399999999999,292.70099999999996,134.386,92.431,121.492,232.981,122.48,277.64,167.247,134.44,170.33700000000002,254.862,168.71599999999998,293.642,172.225,242.301,172.04,98.316,173.24200000000002,241.918,160.851,136.174,162.955,307.122,163.165,126.86399999999999,157.201,73.367,158.27100000000002,256.03700000000003,156.804,126.17299999999999,147.391,226.747,148.53799999999998,283.48,150.002,299.92900000000003,191.69400000000002,86.76799999999999,193.658,114.40299999999999,196.045,288.098,195.512,126.447,198.363,53.681999999999995,185.283,307.04200000000003,185.486,259.942,186.917,136.91899999999998,190.801,68.77600000000001,179.19799999999998,146.63299999999998,179.67,274.288,182.61,84.027,174.11599999999999,260.418,176.77200000000002,110.24,178.14,146.235,206.81599999999997,56.746,209.05200000000002,255.002,201.05599999999998,135.92700000000002,201.054,221.045,117.837,246.907,182.08700000000002,,,,,,,,,,,,,,,,
