TimesH,Frame,NoMissing,13,13,23,23,36,36,63,63,71,71,73,73,81,81,82,82,93,93,94,94,100,100,105,105,115,115,116,116,122,122,150,150,151,151,157,157,163,163,168,168,181,181,185,185,189,189,192,192,224,224,226,226,228,228,232,232,244,244,251,251,257,257,259,259,267,267,274,274,288,288,292,292,310,310,330,330,366,366,372,372,377,377,378,378,436,436,440,440,476,476,498,498,502,502,506,506,509,509,526,526,530,530,535,535,559,559,573,573,596,596,598,598,599,599,622,622,631,631,755,755,798,798,864,864
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
145.25,581.0,,95.029,76.399,123.198,75.058,126.075,89.16799999999999,259.547,95.65899999999999,95.616,92.536,211.63,108.98700000000001,116.154,104.73299999999999,223.11700000000002,103.78299999999999,121.322,116.574,264.35900000000004,116.38799999999999,218.76,110.43,88.086,127.993,186.357,119.715,204.63299999999998,118.927,192.813,133.685,103.915,154.965,238.33700000000002,156.144,208.597,148.711,262.965,147.19,58.83,165.012,224.287,170.075,245.722,171.33599999999998,71.065,170.247,96.949,170.21599999999998,225.592,177.768,113.557,175.28799999999998,121.236,176.05700000000002,212.928,175.47299999999998,190.668,188.517,242.96099999999998,187.537,102.42299999999999,180.84099999999998,109.853,180.606,197.042,179.90599999999998,240.304,35.766,114.986,33.163000000000004,214.38099999999997,191.218,95.376,47.695,96.515,65.156,218.207,90.698,184.85,142.89700000000002,90.345,158.466,207.018,167.46599999999998,90.443,101.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.5,582.0,,95.075,76.366,123.22,75.033,126.10700000000001,89.15100000000001,259.645,95.751,95.60799999999999,92.572,211.615,109.025,116.154,104.698,223.15,103.79299999999999,121.34899999999999,116.572,264.453,116.368,218.78,110.39,88.066,128.005,186.322,119.70200000000001,204.636,118.80799999999999,192.80599999999998,133.69,103.948,154.985,238.396,156.107,208.576,148.684,263.11,147.139,58.693999999999996,165.078,224.31799999999998,170.065,245.738,171.31799999999998,71.074,170.24099999999999,96.929,170.261,225.69099999999997,177.75900000000001,113.52799999999999,175.238,121.24,176.03900000000002,212.93900000000002,175.47299999999998,190.638,188.49,242.762,187.63099999999997,102.419,180.81400000000002,109.882,180.597,197.03400000000002,179.935,240.327,35.817,115.03299999999999,33.015,214.359,191.19799999999998,95.368,47.75,96.527,65.046,218.322,90.87200000000001,185.518,143.18200000000002,90.28200000000001,158.136,207.04,167.482,90.40700000000001,101.29,230.0,191.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.75,583.0,,94.95,76.36399999999999,123.221,75.018,126.105,89.132,259.584,96.079,95.588,92.615,211.602,109.037,116.16,104.686,223.09,103.807,121.376,116.538,264.472,116.29700000000001,218.783,110.4,88.065,128.004,186.322,119.64,204.627,118.859,192.87900000000002,133.705,103.897,154.991,238.64,156.145,208.548,148.69299999999998,263.02299999999997,147.145,58.565,165.153,224.321,170.05599999999998,245.75,171.326,71.051,170.285,96.929,170.235,225.713,177.739,113.48200000000001,175.187,121.29799999999999,176.015,212.94,175.455,190.625,188.52,242.655,187.615,102.434,180.873,109.905,180.605,197.03400000000002,179.905,240.37599999999998,35.648,115.00299999999999,33.084,214.362,191.24900000000002,95.35,47.766999999999996,96.499,65.189,218.458,90.99700000000001,,,90.241,158.189,207.082,166.753,90.414,101.291,229.487,191.437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.0,584.0,,94.956,76.37899999999999,123.211,75.021,126.073,89.104,259.723,96.425,95.56200000000001,92.589,211.59400000000002,109.035,116.15,104.721,223.062,103.738,121.35799999999999,116.501,264.514,116.28200000000001,218.803,110.366,88.057,128.026,186.331,119.65899999999999,204.613,118.766,192.877,133.71,103.93799999999999,154.99200000000002,238.65900000000002,156.14,208.53,148.656,263.007,147.043,58.589,165.179,224.31599999999997,170.02900000000002,245.71099999999998,171.362,71.05199999999999,170.296,96.92200000000001,170.25,225.75099999999998,177.743,113.446,175.097,121.255,176.05,212.919,175.455,190.605,188.47299999999998,242.778,187.655,102.395,180.9,109.891,180.62599999999998,197.049,179.87400000000002,240.31099999999998,35.625,115.005,33.205,214.389,191.264,95.367,47.763000000000005,96.486,65.175,218.65400000000002,91.18299999999999,185.0,143.0,90.24600000000001,158.091,207.095,167.04,,,229.577,191.47299999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.25,585.0,,94.93700000000001,76.411,123.213,74.968,126.044,89.12799999999999,259.61,96.314,95.508,92.574,211.579,109.068,116.146,104.75,223.063,103.698,121.411,116.48299999999999,264.572,116.211,218.80200000000002,110.352,88.053,128.01,186.322,119.654,204.49900000000002,118.473,192.858,133.70600000000002,104.154,154.839,238.825,156.145,208.59900000000002,148.68200000000002,263.024,147.061,58.549,165.204,224.33599999999998,170.02200000000002,245.727,171.36700000000002,71.06,170.326,96.895,170.263,225.745,177.734,113.45299999999999,175.00099999999998,121.28399999999999,176.03099999999998,212.91099999999997,175.467,190.58599999999998,188.50099999999998,242.90099999999998,187.704,102.40899999999999,180.87599999999998,109.88,180.635,197.05,179.873,240.33599999999998,35.57,115.087,33.132,214.355,191.27900000000002,95.36399999999999,47.748000000000005,96.42200000000001,65.219,218.623,91.176,185.415,143.114,90.294,158.05700000000002,207.09099999999998,166.937,90.531,101.04899999999999,229.524,191.47,249.868,194.90400000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.5,586.0,,94.915,76.355,123.18299999999999,75.012,126.021,89.134,259.346,95.86399999999999,95.51799999999999,92.605,211.578,109.074,116.164,104.78299999999999,222.99400000000003,103.76899999999999,121.40700000000001,116.492,264.362,116.18,218.81599999999997,110.34899999999999,88.04799999999999,128.019,186.325,119.68299999999999,204.458,118.325,192.861,133.7,104.304,154.746,238.737,156.32,208.65400000000002,148.686,262.92900000000003,147.115,58.504,165.25900000000001,224.338,170.028,245.733,171.39,71.061,170.35299999999998,96.91,170.31099999999998,225.805,177.683,113.413,174.90200000000002,121.315,176.033,212.928,175.47099999999998,190.65900000000002,188.502,243.042,187.733,102.359,180.90099999999998,109.79899999999999,180.645,197.041,179.873,240.322,35.569,115.134,33.336999999999996,214.334,191.3,95.39399999999999,47.77,96.37899999999999,65.256,218.558,91.15,185.0,143.0,90.266,158.054,207.141,166.357,90.458,101.036,229.59,191.372,249.666,194.81900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.75,587.0,,94.92399999999999,76.453,123.185,75.025,126.00399999999999,89.13799999999999,259.502,96.15799999999999,95.508,92.63799999999999,211.565,109.06700000000001,116.184,104.863,223.002,103.796,121.385,116.478,264.403,116.223,218.838,110.307,88.051,128.00799999999998,186.31099999999998,119.633,204.395,118.156,192.825,133.688,104.266,154.57399999999998,238.74400000000003,156.158,208.58,148.642,263.0,147.132,58.275,165.412,224.324,170.05200000000002,245.778,171.372,71.045,170.363,96.92,170.30700000000002,225.805,177.675,113.366,174.773,121.333,176.044,212.93599999999998,175.49,190.614,188.49400000000003,242.94299999999998,187.771,102.351,180.87900000000002,109.84100000000001,180.638,197.023,179.86,240.28400000000002,35.579,115.171,33.364000000000004,214.334,191.28799999999998,95.4,47.76,96.45100000000001,65.339,218.64,91.088,185.451,143.12,90.223,157.976,207.09,166.453,90.39,101.23200000000001,229.639,191.396,249.66099999999997,194.92700000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.0,588.0,,94.882,76.426,123.156,75.056,126.01700000000001,89.154,259.41,95.98899999999999,95.48200000000001,92.637,211.558,109.064,116.199,104.869,223.033,103.78299999999999,121.429,116.47200000000001,264.467,116.351,218.842,110.305,88.074,127.98899999999999,186.299,119.648,204.347,118.001,192.796,133.665,104.181,154.614,238.718,156.101,208.574,148.593,262.847,147.113,57.836000000000006,165.63099999999997,224.32299999999998,170.049,245.78400000000002,171.392,71.046,170.342,96.935,170.27200000000002,225.835,177.669,113.37,174.69400000000002,121.359,176.047,212.94400000000002,175.488,190.574,188.50900000000001,243.047,187.731,102.355,180.88400000000001,109.82799999999999,180.583,197.021,179.847,240.261,35.588,115.12899999999999,33.162,214.287,191.37900000000002,95.399,47.758,96.404,65.29,218.66099999999997,91.117,185.903,143.254,90.287,158.39700000000002,207.05200000000002,166.834,90.376,100.723,229.908,191.262,249.614,194.903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.25,589.0,,94.92200000000001,76.406,123.133,75.051,126.01899999999999,89.165,259.291,95.90299999999999,95.45700000000001,92.632,211.544,109.08200000000001,116.20100000000001,104.852,223.047,103.78,121.47,116.42,264.397,116.43,218.82,110.3,88.084,127.98200000000001,186.3,119.615,204.292,117.932,192.794,133.659,104.145,154.666,238.865,156.053,208.623,148.59799999999998,262.945,147.08100000000002,57.358000000000004,165.951,224.305,170.06,245.782,171.38,71.032,170.356,96.943,170.27700000000002,225.877,177.68099999999998,113.36399999999999,174.71200000000002,121.448,176.00599999999997,212.94400000000002,175.489,190.55,188.49,243.08599999999998,187.68,102.324,180.85299999999998,109.82700000000001,180.601,196.995,179.821,240.269,35.571,115.005,33.137,214.257,191.41099999999997,95.398,47.748000000000005,96.339,65.314,218.69799999999998,91.086,186.077,143.279,90.325,158.582,207.065,166.90200000000002,90.42299999999999,100.665,229.99,191.18599999999998,249.519,194.828,101.396,109.897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.5,590.0,,94.921,76.48899999999999,123.126,75.059,126.01,89.15799999999999,259.372,95.95,95.448,92.62200000000001,211.537,109.094,116.23100000000001,104.87799999999999,223.049,103.77,121.48299999999999,116.42299999999999,264.337,116.40700000000001,218.813,110.31299999999999,88.1,127.976,186.27,119.539,204.28400000000002,117.86200000000001,192.774,133.711,104.21799999999999,154.583,238.868,155.909,208.609,148.584,262.978,147.015,57.335,165.951,224.30900000000003,170.07299999999998,245.761,171.40200000000002,71.038,170.363,96.93299999999999,170.315,225.888,177.68900000000002,113.34,174.484,121.44,176.00099999999998,212.972,175.518,190.495,188.453,243.132,187.757,102.31,180.827,109.86200000000001,180.59400000000002,196.99099999999999,179.812,240.264,35.541,114.978,33.211999999999996,214.235,191.455,95.40799999999999,47.713,96.303,65.314,218.646,91.09299999999999,186.237,143.28799999999998,90.391,158.935,207.00900000000001,167.226,90.499,100.792,230.142,191.1,249.267,194.627,101.40799999999999,109.87299999999999,110.21,117.838,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
