TimesH,Frame,NoMissing,6,6,11,11,12,12,14,14,18,18,22,22,26,26,35,35,45,45,50,50,80,80,116,116,124,124,142,142,145,145,147,147,152,152,155,155,166,166,174,174,183,183,223,223,224,224,235,235,332,332,335,335,338,338,481,481,832,832
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
183.5,734.0,,127.774,139.262,239.342,131.293,232.78900000000002,131.464,111.206,134.29,293.949,155.121,224.043,152.151,116.92200000000001,149.791,216.083,110.98100000000001,123.913,130.058,263.813,128.33100000000002,273.705,94.01299999999999,134.616,204.57,113.65299999999999,202.47799999999998,293.77299999999997,205.265,106.01299999999999,191.188,123.314,193.347,313.694,189.66099999999997,158.507,189.467,274.3,198.332,279.317,193.66,254.017,176.372,278.66700000000003,168.636,107.012,170.185,81.97399999999999,164.674,283.986,218.43200000000002,94.146,216.405,148.012,215.49099999999999,344.542,198.08599999999998,,
183.75,735.0,,127.80799999999999,139.23,239.456,131.411,232.83700000000002,131.401,111.361,134.2,293.933,155.105,223.99900000000002,152.107,116.913,149.809,216.12099999999998,111.221,123.919,130.05100000000002,263.812,128.33,273.657,94.104,134.626,204.56099999999998,113.596,202.512,293.843,205.22099999999998,106.014,191.176,123.334,193.34,313.707,189.628,158.535,189.46900000000002,274.308,198.333,279.263,193.63099999999997,253.99099999999999,176.3,278.677,168.65099999999998,106.96,170.173,82.08,164.609,284.008,218.47,94.119,216.468,148.109,215.571,,,,
184.0,736.0,,127.87200000000001,139.266,239.47400000000002,131.378,232.855,131.334,111.45299999999999,134.158,293.95099999999996,155.04,223.875,152.037,116.93700000000001,149.769,215.97,110.85799999999999,123.897,130.033,263.796,128.317,273.615,94.10799999999999,134.622,204.52900000000002,113.601,202.487,293.89799999999997,205.15,106.031,191.172,123.37299999999999,193.356,313.661,189.612,158.537,189.453,274.306,198.342,279.343,193.615,254.018,176.25799999999998,278.743,168.609,106.98899999999999,170.146,82.12899999999999,164.584,284.059,218.422,94.052,216.34900000000002,148.148,215.44400000000002,344.855,198.15400000000002,,
184.25,737.0,,127.766,139.22,239.46,131.18,232.889,131.246,111.512,134.012,293.959,155.025,223.94099999999997,152.135,116.954,149.71,215.832,110.68799999999999,123.934,130.043,263.784,128.312,273.586,93.98700000000001,134.529,204.47299999999998,113.589,202.46400000000003,293.96299999999997,205.09799999999998,106.031,191.185,123.365,193.333,313.64099999999996,189.628,158.513,189.476,274.296,198.333,279.353,193.592,253.963,176.33900000000003,278.726,168.63299999999998,106.921,170.144,82.08200000000001,164.601,284.115,218.415,94.084,216.291,148.1,215.43099999999998,344.884,198.082,,
184.5,738.0,,127.78,139.16899999999998,239.543,131.267,232.882,131.109,111.529,134.007,293.966,155.067,223.954,152.093,116.99700000000001,149.721,215.918,110.95200000000001,123.904,130.014,263.782,128.315,273.715,93.99700000000001,134.564,204.467,113.546,202.425,294.043,205.046,106.03399999999999,191.172,123.397,193.33900000000003,313.695,189.58700000000002,158.436,189.517,274.315,198.33599999999998,279.372,193.58700000000002,254.021,176.375,278.72900000000004,168.64,106.824,170.18599999999998,82.12299999999999,164.62,284.107,218.43099999999998,94.13600000000001,216.176,148.012,215.39700000000002,344.911,198.15099999999998,,
184.75,739.0,,127.756,139.16,239.55700000000002,131.18,232.84900000000002,131.028,111.52,133.963,293.947,155.075,223.859,152.101,116.954,149.69799999999998,215.84099999999998,111.055,123.86399999999999,130.001,263.806,128.299,273.737,94.07600000000001,134.575,204.47799999999998,113.515,202.422,294.128,204.998,106.056,191.18099999999998,123.383,193.343,313.665,189.59099999999998,158.47,189.56400000000002,274.327,198.328,279.35,193.535,254.02200000000002,176.52,278.759,168.646,106.84,170.155,82.25299999999999,164.80599999999998,284.113,218.40900000000002,94.15700000000001,216.135,148.013,215.46099999999998,344.876,198.11599999999999,,
185.0,740.0,,127.72,139.07,239.595,131.137,232.817,130.959,111.59899999999999,133.907,293.967,155.04399999999998,223.86700000000002,152.075,116.935,149.694,215.597,110.726,123.846,129.987,263.791,128.292,273.824,94.15100000000001,134.565,204.482,113.54,202.41299999999998,294.219,204.94099999999997,106.027,191.18,123.383,193.345,313.692,189.611,158.512,189.53799999999998,274.347,198.343,279.422,193.537,254.016,176.389,278.776,168.59900000000002,106.728,170.17700000000002,82.31700000000001,164.676,284.159,218.415,94.15899999999999,216.085,148.078,215.52,345.115,198.016,,
185.25,741.0,,127.74700000000001,139.07,239.628,131.17700000000002,232.86900000000003,130.886,111.374,134.16299999999998,293.972,155.04399999999998,223.804,152.053,116.93799999999999,149.649,215.266,109.64200000000001,123.891,129.955,263.778,128.303,273.767,94.08,134.57399999999998,204.44099999999997,113.53,202.385,294.276,204.86700000000002,106.035,191.19,123.381,193.347,313.663,189.574,158.482,189.582,274.325,198.355,279.42400000000004,193.517,254.00099999999998,176.171,278.765,168.58599999999998,106.738,170.165,82.146,164.62400000000002,284.11,218.38,94.193,216.08900000000003,148.189,215.331,345.046,197.96,,
185.5,742.0,,127.785,139.067,239.637,131.262,232.895,130.835,111.4,134.1,293.959,155.009,223.887,152.157,116.931,149.657,215.628,108.205,123.932,129.915,263.79400000000004,128.285,273.874,94.161,134.53,204.46400000000003,113.54,202.356,294.35200000000003,204.727,106.03299999999999,191.18,123.36200000000001,193.34,313.722,189.511,158.528,189.578,274.325,198.36599999999999,279.454,193.503,253.96900000000002,176.347,278.765,168.576,106.681,170.157,82.14299999999999,164.612,284.14099999999996,218.387,94.175,216.1,148.113,215.18099999999998,344.935,198.035,,
185.75,743.0,,127.77600000000001,139.111,239.687,131.22899999999998,232.888,130.82299999999998,111.294,134.076,293.974,155.05200000000002,223.84400000000002,152.14600000000002,116.931,149.651,215.551,108.00299999999999,123.95700000000001,129.893,263.806,128.268,273.8,94.24799999999999,134.517,204.44400000000002,113.53399999999999,202.32299999999998,294.381,204.665,106.027,191.18200000000002,123.39,193.347,313.732,189.515,158.506,189.658,274.323,198.39,280.0,194.0,253.915,176.774,278.796,168.49,106.719,170.12900000000002,82.21,164.637,284.17,218.373,94.166,216.028,148.168,215.112,344.898,197.951,,
