TimesH,Frame,NoMissing,160,160,211,211,225,225,240,240,331,331,344,344,440,440,468,468,783,783,979,979,1024,1024,1060,1060,1119,1119,1303,1303,1459,1459,1694,1694,1783,1783,1942,1942,2344,2344,2446,2446,2451,2451,2846,2846,2854,2854,3041,3041,3066,3066,3293,3293,3604,3604,4069,4069,4118,4118,4174,4174,4181,4181,4214,4214,4262,4262,4459,4459,4673,4673,4696,4696,4890,4890,5315,5315,5374,5374,5502,5502,5509,5509
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
360.25,1441.0,,130.645,167.77200000000002,44.56100000000001,192.46400000000003,147.876,192.102,144.183,183.747,124.70299999999999,25.533,121.948,201.26,138.648,54.951,177.639,50.485,155.825,17.385,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.5,1442.0,,130.769,167.7,44.53,192.498,147.939,191.953,144.16899999999998,183.69799999999998,124.484,25.325,122.02,201.40599999999998,138.657,54.94,177.675,50.50899999999999,155.82399999999998,17.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.75,1443.0,,130.741,167.774,44.63,192.49900000000002,147.933,191.843,144.16299999999998,183.653,124.491,25.239,122.073,201.127,138.667,54.952,177.90900000000002,50.476000000000006,155.94799999999998,17.359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361.0,1444.0,,130.756,167.827,44.653,192.502,148.00799999999998,192.012,144.13,183.65400000000002,124.641,25.267,122.07700000000001,200.894,138.667,54.96,177.893,50.448,155.91299999999998,17.351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361.25,1445.0,,130.849,167.81900000000002,44.563,192.497,148.063,192.049,144.128,183.65599999999998,124.49,25.541999999999998,122.09899999999999,200.673,138.67600000000002,54.986999999999995,177.919,50.395,155.94299999999998,17.379,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361.5,1446.0,,130.873,167.894,44.611999999999995,192.519,148.101,192.138,144.077,183.555,124.493,25.288,122.09700000000001,200.49,138.681,55.012,177.99400000000003,50.309,155.775,17.429000000000002,212.692,83.09100000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
361.75,1447.0,,130.941,167.933,44.652,192.498,148.107,192.18,144.064,183.476,124.538,25.291999999999998,122.115,200.312,138.67,55.016999999999996,178.044,50.26,155.803,17.338,212.641,83.17299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362.0,1448.0,,130.936,168.025,44.501999999999995,192.495,148.10399999999998,192.21400000000003,144.101,183.417,124.31200000000001,25.596,122.182,200.03900000000002,138.659,55.001999999999995,177.986,50.39,155.72799999999998,17.340999999999998,212.632,83.03299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362.25,1449.0,,130.911,168.11,44.498999999999995,192.49200000000002,148.141,192.243,144.108,183.325,124.536,25.489,122.236,199.935,138.69299999999998,54.976000000000006,178.1,50.331,155.704,17.297,212.593,83.436,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362.5,1450.0,,130.934,168.165,44.658,192.49599999999998,148.231,192.386,144.084,183.343,124.67299999999999,25.53,122.26100000000001,199.858,138.686,54.983999999999995,177.983,50.316,155.679,17.27,212.518,83.384,145.825,91.581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362.75,1451.0,,130.909,168.169,44.662,192.49099999999999,148.239,192.30200000000002,144.058,183.233,124.48100000000001,25.345,122.185,199.87,138.73,54.992,177.968,50.301,155.692,17.244,212.551,83.473,145.918,91.67299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363.0,1452.0,,130.907,168.213,44.61,192.511,148.281,192.363,144.036,183.16400000000002,124.541,25.325,122.26299999999999,199.83900000000003,138.745,54.995,178.52599999999998,50.315,155.726,17.233,212.43200000000002,83.631,145.917,92.02799999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
363.25,1453.0,,130.94299999999998,168.166,44.558,192.488,148.326,192.37599999999998,144.054,183.1,124.76299999999999,25.392,122.345,199.864,138.765,54.951,178.062,50.519,155.72899999999998,17.252,212.403,83.515,145.924,92.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
