TimesH,Frame,NoMissing,36,36,65,65,100,100,133,133,135,135,148,148,150,150,151,151,235,235,240,240,252,252,305,305,311,311,312,312,1117,1117,1290,1290,1367,1367,1415,1415,1692,1692,1725,1725,1846,1846,1947,1947,1969,1969,2045,2045,2086,2086,2123,2123,2331,2331,2337,2337,2408,2408,2409,2409,2431,2431,2447,2447,2453,2453,2499,2499,2522,2522,2566,2566,2580,2580,2640,2640,2647,2647,2660,2660,2667,2667,2711,2711,2810,2810,3114,3114,3148,3148,3363,3363,3482,3482,3493,3493,3692,3692,3695,3695,3704,3704,3760,3760,3843,3843,3890,3890,3958,3958,4019,4019,4063,4063,4107,4107,4154,4154,4182,4182,4216,4216,4227,4227,4232,4232,4240,4240,4254,4254,4261,4261,4303,4303
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
358.5,1434.0,,155.789,159.43,121.99700000000001,176.36900000000003,110.766,181.66099999999997,141.843,195.02900000000002,97.065,194.065,146.881,187.12,102.661,188.632,119.792,187.74,113.99,111.42,102.74,148.618,168.34599999999998,145.153,93.141,204.824,120.314,203.1,110.554,202.71900000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
358.75,1435.0,,155.786,159.339,122.009,176.328,110.741,181.65,141.885,194.985,97.086,194.019,146.827,187.11599999999999,102.654,188.623,119.77,187.71400000000003,113.956,111.3,102.74600000000001,148.615,168.365,145.124,93.05799999999999,204.821,120.309,203.08,110.52600000000001,202.725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.0,1436.0,,155.792,159.245,122.007,176.28400000000002,110.72,181.638,141.876,195.03,97.102,193.99,146.816,187.123,102.59100000000001,188.541,119.738,187.695,113.927,111.4,102.74600000000001,148.613,168.368,145.142,93.039,204.817,120.30799999999999,203.065,110.632,202.685,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.25,1437.0,,155.804,159.16299999999998,122.031,176.24200000000002,110.723,181.62099999999998,141.875,195.005,97.09100000000001,193.967,146.787,187.10299999999998,102.6,188.438,119.743,187.683,114.057,111.71700000000001,102.74700000000001,148.601,168.36,145.156,93.02799999999999,204.84900000000002,120.316,203.015,110.675,202.697,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.5,1438.0,,155.767,159.192,122.03399999999999,176.199,110.67200000000001,181.59,141.904,195.123,97.096,193.935,146.816,187.093,102.58,188.312,119.73,187.667,114.03299999999999,111.72399999999999,102.745,148.60299999999998,168.40400000000002,145.16899999999998,93.01799999999999,204.78400000000002,120.32600000000001,202.99599999999998,110.626,202.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.75,1439.0,,155.747,159.137,122.079,176.169,110.669,181.53400000000002,141.862,195.04,97.09700000000001,193.90900000000002,146.78,187.072,102.61399999999999,188.31799999999998,119.728,187.632,114.056,111.743,102.75399999999999,148.591,168.44099999999997,145.121,93.009,204.801,120.344,203.01,110.71600000000001,202.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.0,1440.0,,155.715,159.10299999999998,122.10700000000001,176.102,110.68700000000001,181.533,141.862,195.03099999999998,97.09899999999999,193.875,146.739,187.07,102.60799999999999,188.27200000000002,119.68,187.595,113.98700000000001,111.85799999999999,102.76299999999999,148.58700000000002,168.403,145.08700000000002,92.916,204.8,120.346,202.984,110.71,202.767,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.25,1441.0,,155.715,159.058,122.115,176.074,110.68700000000001,181.53400000000002,141.83,195.00900000000001,97.11200000000001,193.854,146.705,187.06799999999998,102.74,188.25400000000002,119.652,187.574,114.021,111.73299999999999,102.758,148.554,168.4,145.065,92.87799999999999,204.81900000000002,120.34700000000001,202.97799999999998,110.698,202.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.5,1442.0,,155.72299999999998,158.993,122.12899999999999,176.06400000000002,110.69200000000001,181.53400000000002,141.82299999999998,195.06799999999998,97.12700000000001,193.83700000000002,146.632,187.05900000000003,102.823,188.204,119.669,187.535,113.991,111.715,102.74600000000001,148.548,168.39,145.042,92.837,204.80700000000002,120.333,202.957,110.677,202.748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
360.75,1443.0,,155.703,158.977,122.135,176.00599999999997,110.71,181.52599999999998,141.80200000000002,195.015,97.155,193.831,146.597,187.06900000000002,102.845,188.153,119.677,187.50599999999997,114.041,111.788,102.741,148.534,168.391,145.004,92.805,204.78799999999998,120.324,202.94,110.74799999999999,202.75,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
