TimesH,Frame,NoMissing,6,6,12,12,22,22,28,28,40,40,65,65,85,85,90,90,95,95,102,102,117,117,130,130,137,137,169,169,188,188,190,190,205,205,210,210,234,234,236,236,282,282,290,290,294,294,317,317,352,352,370,370,371,371,467,467,485,485,486,486,501,501,511,511,526,526,550,550,585,585,597,597,604,604,644,644,645,645,660,660,667,667,1574,1574
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
186.0,744.0,,242.632,156.719,293.714,154.828,115.186,158.404,141.042,159.898,129.74200000000002,146.827,229.22299999999998,170.86,115.946,174.014,132.436,165.007,309.216,165.753,108.21600000000001,163.748,281.335,168.29,115.60600000000001,190.614,168.513,188.03099999999998,147.313,191.62400000000002,67.572,180.801,339.76300000000003,185.99099999999999,51.291000000000004,184.27200000000002,247.05700000000002,184.446,255.274,206.197,138.96,206.229,262.878,198.896,242.85,198.896,285.658,198.36900000000003,111.03,201.47400000000002,288.635,60.292,371.216,223.96599999999998,173.49200000000002,68.857,113.759,88.834,116.061,99.78,271.943,101.584,255.488,99.096,118.927,79.929,289.473,73.241,156.851,87.475,246.33,117.708,177.476,121.822,125.50299999999999,122.339,151.637,137.791,257.66700000000003,136.918,106.155,144.734,268.845,140.94799999999998,,
186.25,745.0,,242.642,156.792,293.73400000000004,154.762,115.221,158.35399999999998,141.091,159.873,129.748,146.805,229.18900000000002,170.88400000000001,115.88799999999999,173.96900000000002,132.349,164.976,309.293,165.72299999999998,108.194,163.748,281.32099999999997,168.266,115.63,190.62099999999998,168.47400000000002,188.067,147.621,191.338,67.602,180.74200000000002,339.75199999999995,186.002,51.203,184.002,247.088,184.36,255.282,206.2,138.941,206.22099999999998,262.78,198.84900000000002,242.84900000000002,198.815,285.714,198.305,111.084,201.56599999999997,288.651,60.347,371.32300000000004,223.912,173.544,68.895,113.773,88.852,116.10600000000001,99.75200000000001,271.966,101.57,255.476,99.132,118.91799999999999,79.875,289.487,73.253,156.858,87.5,246.34599999999998,117.671,177.543,121.91799999999999,125.49600000000001,122.4,151.592,137.76,257.643,136.86700000000002,106.147,144.736,268.719,140.89,,
186.5,746.0,,242.729,156.851,293.774,154.83100000000002,115.225,158.394,141.1,159.868,129.735,146.803,229.27700000000002,170.831,115.868,174.09799999999998,132.38,164.947,309.232,165.77200000000002,108.18,163.776,281.28,168.283,115.626,190.649,168.53799999999998,188.113,147.783,191.239,67.572,180.736,339.776,186.0,51.258,183.762,247.135,184.206,255.28799999999998,206.18400000000003,138.928,206.235,262.73400000000004,198.83900000000003,242.86700000000002,198.747,285.722,198.292,111.13600000000001,201.49099999999999,288.633,60.372,371.599,223.88099999999997,173.54,68.875,113.68,88.833,116.15799999999999,99.71600000000001,271.959,101.51799999999999,255.47,99.12899999999999,118.958,79.91,289.548,73.251,156.862,87.50399999999999,246.325,117.706,177.53,121.929,125.484,122.338,151.58100000000002,137.782,257.61400000000003,136.827,106.179,144.717,268.72900000000004,140.91299999999998,,
186.75,747.0,,242.755,156.815,293.769,154.83700000000002,115.251,158.406,141.141,159.832,129.757,146.754,229.183,170.726,115.90299999999999,174.032,132.43200000000002,164.94400000000002,309.17400000000004,165.803,108.18299999999999,163.797,281.242,168.298,115.602,190.666,168.563,188.111,147.874,191.202,67.58800000000001,180.65,339.769,186.00099999999998,51.281000000000006,183.946,247.08,184.266,255.28799999999998,206.166,138.999,206.222,262.767,198.855,242.863,198.72,285.733,198.24900000000002,111.117,201.60299999999998,288.61400000000003,60.326,371.56699999999995,223.987,173.528,68.888,113.84899999999999,88.83200000000001,116.11399999999999,99.726,271.939,101.575,255.484,99.139,119.00399999999999,79.956,289.584,73.233,156.861,87.59200000000001,246.322,117.719,177.47299999999998,121.762,125.469,122.255,151.57299999999998,137.727,257.503,136.691,106.189,144.734,268.699,140.81799999999998,,
187.0,748.0,,242.87900000000002,156.83,293.675,154.873,115.219,158.319,141.112,159.827,129.766,146.688,229.18099999999998,170.74400000000003,115.891,173.933,132.393,164.99099999999999,309.142,165.81599999999997,108.131,163.77700000000002,281.176,168.23,115.52,190.646,168.56099999999998,188.065,147.884,191.158,67.529,180.653,339.74699999999996,186.075,51.285,183.65200000000002,247.065,184.313,255.28400000000002,206.169,139.015,206.195,262.899,198.88400000000001,242.878,198.601,285.762,198.19099999999997,111.156,201.49200000000002,288.6,60.398999999999994,371.477,223.93400000000003,173.44099999999997,68.866,113.806,88.839,116.14200000000001,99.64299999999999,271.961,101.49799999999999,255.479,99.132,118.98700000000001,79.95,289.624,73.23899999999999,156.862,87.55799999999999,246.303,117.74,177.512,121.78299999999999,125.462,122.19200000000001,151.591,137.68,257.51,136.696,106.19200000000001,144.727,268.866,140.83100000000002,,
187.25,749.0,,242.995,156.893,293.666,154.885,115.165,158.35,141.126,159.804,129.784,146.649,229.15400000000002,170.74099999999999,115.92,173.94299999999998,132.30200000000002,165.00900000000001,309.192,165.792,108.14299999999999,163.733,281.187,168.197,115.57,190.625,168.579,188.06799999999998,147.893,191.137,67.539,180.708,339.722,186.02900000000002,51.559,183.86700000000002,247.06799999999998,184.25799999999998,255.28400000000002,206.174,139.019,206.168,262.901,198.899,242.854,198.653,285.802,198.195,111.213,201.50900000000001,288.73,60.155,371.662,223.918,173.52,68.842,113.835,88.837,116.109,99.63799999999999,271.983,101.47200000000001,255.502,99.12,119.023,79.935,289.594,73.214,156.924,87.56299999999999,246.37900000000002,117.73,177.387,121.663,125.43799999999999,122.132,151.614,137.648,257.574,136.694,106.193,144.72299999999998,268.973,140.836,,
187.5,750.0,,243.03,156.85399999999998,293.6,154.931,115.109,158.27200000000002,141.097,159.832,129.766,146.696,229.08900000000003,170.75900000000001,115.834,173.96900000000002,132.33700000000002,164.99200000000002,309.247,165.795,108.17200000000001,163.64,281.164,168.15400000000002,115.559,190.64,168.548,188.047,147.876,191.105,67.554,180.699,339.686,186.00900000000001,51.57,183.963,247.097,184.19,255.283,206.201,139.013,206.174,262.96,198.88400000000001,242.84599999999998,198.63299999999998,285.79,198.213,111.27,201.572,288.695,60.181000000000004,371.834,223.885,173.49599999999998,68.862,113.865,88.81200000000001,116.102,99.637,272.034,101.48100000000001,255.483,99.14,118.994,79.939,289.601,73.243,156.835,87.554,246.34799999999998,117.719,177.267,121.667,125.45200000000001,122.12299999999999,151.605,137.599,257.539,136.628,106.195,144.726,269.031,140.84799999999998,,
187.75,751.0,,243.018,156.874,293.555,154.93200000000002,115.148,158.245,141.12,159.80200000000002,129.784,146.64,229.19,170.738,115.80799999999999,173.87099999999998,132.34,165.032,309.322,165.731,108.15100000000001,163.65200000000002,281.05400000000003,168.143,115.529,190.65599999999998,168.583,188.06400000000002,147.886,191.02700000000002,67.592,180.65400000000002,339.705,186.09799999999998,51.761,183.854,247.06900000000002,184.142,255.257,206.178,139.024,206.18200000000002,262.918,198.89,242.81,198.641,285.83,198.165,111.164,201.53400000000002,288.673,60.284,371.777,223.821,173.46400000000003,68.85600000000001,113.876,88.79799999999999,116.147,99.58,272.059,101.47,255.503,99.141,118.95700000000001,79.979,289.607,73.21600000000001,156.72899999999998,87.49799999999999,246.38400000000001,117.745,177.25,121.671,125.421,122.139,151.579,137.576,257.569,136.59,106.195,144.71200000000002,269.107,140.874,,
188.0,752.0,,242.958,156.916,293.599,154.953,115.11399999999999,158.255,141.094,159.821,129.757,146.609,229.21599999999998,170.78,115.81200000000001,173.855,132.31799999999998,165.03400000000002,309.308,165.778,108.137,163.675,281.005,168.141,115.564,190.648,168.58599999999998,188.033,147.91299999999998,191.005,67.65100000000001,180.713,339.673,186.06599999999997,51.787,183.83700000000002,247.05,184.136,255.253,206.171,139.047,206.178,262.901,198.90400000000002,242.834,198.605,285.82599999999996,198.188,111.25200000000001,201.558,288.72900000000004,60.31100000000001,371.876,223.80900000000003,173.417,68.76899999999999,113.874,88.838,116.258,99.425,272.078,101.45700000000001,255.50799999999998,99.118,118.93,79.952,289.639,73.237,156.83700000000002,87.52,246.368,117.68299999999999,177.293,121.652,125.42399999999999,122.149,151.59799999999998,137.558,257.613,136.571,106.209,144.711,269.115,140.899,,
188.25,753.0,,242.94799999999998,156.84,293.57,155.029,115.10600000000001,158.22899999999998,141.111,159.77700000000002,129.766,146.57399999999998,229.13400000000001,170.753,115.803,173.822,132.293,165.03400000000002,309.362,165.75599999999997,108.116,163.69,280.94599999999997,168.114,115.588,190.67,168.63400000000001,187.96200000000002,147.921,190.984,67.70100000000001,180.61700000000002,339.69699999999995,186.042,51.733000000000004,183.845,247.025,184.09599999999998,255.25599999999997,206.185,139.061,206.179,262.89599999999996,198.827,242.815,198.513,285.797,198.23,111.17200000000001,201.65900000000002,288.693,60.406000000000006,371.91900000000004,223.83599999999998,173.438,68.74600000000001,113.84899999999999,88.86200000000001,116.28200000000001,99.445,272.063,101.436,255.50799999999998,99.12,118.926,79.934,289.618,73.23899999999999,156.849,87.49700000000001,246.40900000000002,117.706,177.391,121.714,125.411,122.167,151.589,137.484,257.605,136.613,106.197,144.718,269.1,140.937,,
188.5,754.0,,242.94099999999997,156.846,293.529,154.971,115.13600000000001,158.171,141.115,159.785,129.77700000000002,146.563,229.12900000000002,170.74900000000002,115.811,173.95,132.295,165.058,309.298,165.803,108.113,163.67600000000002,280.974,168.11700000000002,115.5,190.611,168.628,187.949,147.94799999999998,191.00900000000001,67.683,180.685,339.685,185.804,51.733999999999995,183.692,246.984,184.101,255.255,206.18200000000002,139.084,206.157,262.959,198.825,242.80700000000002,198.195,285.751,198.202,111.12299999999999,201.704,288.80400000000003,60.361999999999995,371.84,223.767,173.562,68.905,113.86,88.833,116.176,99.569,272.08299999999997,101.43,255.503,99.12200000000001,118.95200000000001,79.959,289.635,73.25399999999999,156.775,87.449,246.422,117.725,177.52200000000002,121.766,125.413,122.244,151.582,137.445,257.582,136.50799999999998,106.205,144.722,269.263,140.966,,
188.75,755.0,,242.87900000000002,156.829,293.557,154.958,115.139,158.17600000000002,141.062,159.762,129.829,146.471,229.144,170.731,115.79299999999999,173.984,132.358,165.05200000000002,309.316,165.793,108.12299999999999,163.697,281.018,168.138,115.51299999999999,190.601,168.642,187.91400000000002,147.865,191.03400000000002,67.65899999999999,180.62900000000002,339.721,185.838,51.715,183.575,246.946,184.105,255.283,206.165,139.107,206.137,263.05400000000003,198.80700000000002,242.81900000000002,198.31799999999998,285.782,198.226,111.00299999999999,201.687,288.754,60.225,372.091,223.79,173.582,68.884,113.851,88.829,116.266,99.523,272.12,101.427,255.52200000000002,99.12899999999999,118.95100000000001,79.972,289.625,73.235,156.835,87.445,246.453,117.71600000000001,177.576,121.762,125.417,122.345,151.506,137.436,257.597,136.401,106.199,144.705,269.268,140.903,,
