TimesH,Frame,NoMissing,16,16,21,21,52,52,94,94,98,98,103,103,117,117,118,118,139,139,141,141,146,146,154,154,156,156,162,162,164,164,167,167,168,168,173,173,182,182,186,186,189,189,191,191,207,207,209,209,218,218,219,219,222,222,227,227,230,230,231,231,246,246,251,251,254,254,262,262,263,263,269,269,272,272,273,273,278,278,302,302,307,307,310,310,311,311,316,316,319,319,329,329,336,336,340,340,344,344,353,353,363,363,386,386,396,396,398,398,408,408,417,417,430,430,435,435,440,440,482,482,504,504,658,658,801,801,843,843,973,973,1034,1034,1206,1206,1216,1216,1288,1288,1315,1315,1365,1365,2016,2016
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
193.5,774.0,,80.234,12.974,236.32,11.231,111.01100000000001,26.070999999999998,114.902,46.755,88.79700000000001,44.836000000000006,191.452,44.098,200.64700000000002,50.953,212.838,51.283,236.672,66.35,77.367,67.074,142.976,65.08,248.27599999999998,72.175,68.619,71.605,122.64,69.171,201.574,77.538,128.365,76.729,220.09400000000002,77.124,103.536,75.705,129.31799999999998,84.14299999999999,189.63099999999997,81.263,93.014,79.691,49.122,80.44,97.56299999999999,86.816,244.213,86.35700000000001,90.134,93.796,43.073,95.08,253.762,92.366,252.69,100.85799999999999,229.94799999999998,99.861,42.449,100.89200000000001,142.82399999999998,105.37,79.632,101.40899999999999,55.566,101.816,220.94099999999997,110.912,80.082,110.027,67.693,109.12700000000001,23.849,117.316,47.174,117.161,137.224,114.965,39.422,125.676,269.89,125.04299999999999,247.885,124.20299999999999,280.33099999999996,124.774,82.027,123.818,58.663999999999994,130.763,133.412,128.665,27.528000000000002,134.541,89.586,134.401,115.81200000000001,132.899,141.373,139.976,63.611000000000004,136.922,104.096,150.113,284.08,158.22299999999998,265.809,156.718,30.739,153.142,29.177,164.99599999999998,21.445,169.33700000000002,221.356,167.97,72.762,166.343,268.019,180.99400000000003,105.205,201.202,,,,,,,,,,,,,,,,,,,,,,
193.75,775.0,,80.245,12.942,236.291,11.220999999999998,111.01299999999999,26.018,114.729,46.729,88.759,44.781000000000006,191.56400000000002,44.19,200.795,50.856,212.732,51.195,236.71400000000003,66.366,77.365,67.038,142.935,65.092,248.37900000000002,72.255,68.643,71.628,122.59,69.206,201.574,77.562,128.39700000000002,76.704,220.09599999999998,77.071,103.516,75.622,129.316,84.154,189.762,81.267,93.12,79.71,49.115,80.458,97.54700000000001,86.82600000000001,244.25799999999998,86.35600000000001,90.21700000000001,93.787,43.053000000000004,95.083,253.753,92.45299999999999,252.636,100.82700000000001,229.92,99.836,42.445,100.884,142.849,105.32,79.685,101.417,55.548,101.821,220.919,111.005,80.07,109.94200000000001,67.663,109.145,23.87,117.31,47.19,117.101,137.28799999999998,115.0,39.391,125.671,269.848,125.06700000000001,247.97,124.20299999999999,280.303,124.77799999999999,82.069,123.851,58.788000000000004,130.826,133.393,128.631,27.555,134.596,89.61399999999999,134.42600000000002,115.667,132.876,141.336,139.991,63.641999999999996,136.92700000000002,104.036,150.129,284.17400000000004,158.286,265.85900000000004,156.714,30.631999999999998,153.138,29.171,165.065,21.266,169.271,221.46200000000002,168.077,72.913,166.378,267.94599999999997,180.954,105.2,201.167,,,,,,,,,,,,,,,,,,,,,,
194.0,776.0,,80.289,12.963,236.24900000000002,11.235999999999999,111.325,26.112,114.853,46.721000000000004,88.775,44.711999999999996,191.521,44.373999999999995,200.93400000000003,50.86600000000001,212.585,50.982,236.718,66.357,77.29899999999999,67.074,142.918,65.098,248.55900000000003,72.266,68.613,71.617,122.656,69.181,201.579,77.539,128.326,76.705,220.076,77.0,103.61200000000001,75.736,129.315,84.17,189.86,81.304,93.05,79.735,49.151,80.53699999999999,97.58,86.818,244.285,86.37100000000001,90.25,93.79299999999999,43.062,95.088,253.75599999999997,92.43299999999999,252.673,100.87299999999999,229.92700000000002,99.90899999999999,42.425,100.87,142.832,105.29799999999999,79.666,101.37799999999999,55.533,101.82,220.88400000000001,110.89200000000001,80.057,109.99600000000001,67.697,109.155,23.763,117.316,47.225,117.104,137.276,115.01100000000001,39.371,125.65899999999999,269.91700000000003,125.101,248.00099999999998,124.234,280.341,124.689,82.04700000000001,123.848,58.805,130.889,133.439,128.592,27.603,134.562,89.62799999999999,134.488,115.697,133.065,141.314,139.937,63.619,136.94799999999998,104.07799999999999,150.19299999999998,284.324,158.392,265.922,156.782,30.634,153.125,28.995,165.06900000000002,21.331,169.36599999999999,221.37099999999998,167.912,72.942,166.38400000000001,268.197,180.55200000000002,105.255,201.074,,,,,,,,,,,,,,,,,,,,,,
194.25,777.0,,80.329,12.978,236.437,11.231,111.538,26.287,114.88799999999999,46.738,88.728,44.755,191.533,44.556000000000004,201.005,50.925,212.604,51.001999999999995,236.75099999999998,66.34,77.271,67.083,142.958,65.079,248.59599999999998,72.251,68.65899999999999,71.607,122.749,69.125,201.578,77.581,128.349,76.705,220.12400000000002,76.997,103.69200000000001,75.783,129.339,84.164,189.942,81.39399999999999,92.984,79.752,49.081,80.518,97.574,86.837,244.293,86.396,90.273,93.78200000000001,43.038999999999994,95.06700000000001,253.717,92.446,252.571,100.90799999999999,229.86700000000002,99.875,42.427,100.838,142.754,105.31299999999999,79.611,101.361,55.537,101.839,220.892,110.914,80.001,110.04299999999999,67.657,109.195,23.816,117.26899999999999,47.372,117.181,137.235,114.92399999999999,39.347,125.676,269.862,125.169,248.082,124.26299999999999,280.37,124.59100000000001,82.095,123.899,58.781000000000006,130.94299999999998,133.356,128.618,27.624000000000002,134.55700000000002,89.61,134.434,115.70700000000001,133.116,141.305,139.933,63.665,136.953,104.075,150.22799999999998,284.462,158.52,265.973,156.762,30.589000000000002,153.14,29.064,165.047,21.159000000000002,169.305,221.236,167.889,72.874,166.454,268.315,180.608,105.45700000000001,201.00799999999998,,,,,,,,,,,,,,,,,,,,,,
194.5,778.0,,80.366,12.937999999999999,236.458,11.253,111.59700000000001,26.33,114.958,46.746,88.82,44.768,191.608,44.521,201.097,50.798,212.56799999999998,50.946999999999996,236.80200000000002,66.33,77.24,67.095,142.99,65.03,248.525,72.3,68.592,71.53399999999999,122.71799999999999,69.13600000000001,202.0,78.0,128.389,76.711,220.09400000000002,76.91,103.62899999999999,75.771,129.395,84.214,189.965,81.33800000000001,93.081,79.811,49.193999999999996,80.625,97.609,86.79899999999999,244.269,86.375,90.36,93.786,43.062,95.075,253.75599999999997,92.32600000000001,252.613,100.929,229.93,99.932,42.481,100.811,142.798,105.32600000000001,79.53,101.31200000000001,55.549,101.85600000000001,220.895,110.837,79.884,109.93700000000001,67.641,109.18799999999999,23.883000000000003,117.307,47.413999999999994,117.189,137.256,114.939,39.354,125.64399999999999,269.88,125.198,248.13,124.275,280.387,124.721,82.15100000000001,123.99600000000001,58.843999999999994,131.05200000000002,133.32299999999998,128.639,27.605999999999998,134.537,89.635,134.442,115.568,133.249,141.38299999999998,139.938,63.72,136.936,104.15899999999999,150.303,284.431,158.46,266.029,156.707,30.708000000000002,153.126,29.02,165.063,21.209,169.38,221.296,168.042,72.991,166.42700000000002,268.27299999999997,180.882,105.459,201.03599999999997,,,,,,,,,,,,,,,,,,,,,,
194.75,779.0,,80.369,12.944,236.449,11.18,111.624,26.375,114.928,46.754,88.751,44.739,191.685,44.61,201.18,50.68,212.58599999999998,50.938,236.801,66.309,77.251,67.095,143.03799999999998,65.027,248.56799999999998,72.334,68.559,71.528,122.743,69.13,202.0,78.0,128.376,76.723,220.019,76.82,103.6,75.783,129.583,84.12,190.078,81.374,93.10600000000001,79.825,49.07,80.628,97.649,86.88,244.269,86.339,90.43299999999999,93.807,43.078,95.09700000000001,253.747,92.339,252.576,100.94,229.958,99.91,42.48,100.796,142.813,105.34899999999999,79.382,101.15799999999999,55.553000000000004,101.84700000000001,220.84900000000002,110.87899999999999,79.917,109.897,67.645,109.162,23.991999999999997,117.321,47.478,117.096,137.174,114.899,39.326,125.64,269.72900000000004,125.23,248.15400000000002,124.30799999999999,280.358,124.76100000000001,82.165,124.00200000000001,58.952,131.091,133.291,128.72,27.666999999999998,134.485,89.67299999999999,134.455,115.178,133.42700000000002,141.42600000000002,140.062,63.802,136.903,104.119,150.325,284.491,158.486,266.07599999999996,156.754,30.758000000000003,153.145,28.839000000000002,164.952,21.17,169.338,221.104,167.825,73.025,166.393,268.432,180.737,105.37299999999999,201.148,274.008,106.583,,,,,,,,,,,,,,,,,,,,
195.0,780.0,,80.471,12.827,236.553,11.144,111.726,26.305999999999997,114.895,46.754,88.75,44.641000000000005,191.55700000000002,44.815,201.30599999999998,50.636,212.40400000000002,50.693000000000005,236.817,66.315,77.212,67.115,143.062,65.0,248.55200000000002,72.42399999999999,68.524,71.62100000000001,122.78,69.105,202.0,78.0,128.36700000000002,76.758,220.075,76.867,103.52799999999999,75.73100000000001,129.605,84.135,190.12900000000002,81.348,93.07799999999999,79.86,49.051,80.612,97.631,86.758,244.266,86.30799999999999,90.42399999999999,93.81200000000001,43.042,95.07799999999999,253.75099999999998,92.289,252.537,100.88,229.877,99.94200000000001,42.52,100.76899999999999,142.827,105.338,79.421,101.178,55.553999999999995,101.846,220.87599999999998,110.699,79.81,109.92,67.685,109.17,23.932,117.29,47.573,117.184,137.167,114.932,39.317,125.604,269.726,125.26,248.225,124.316,280.355,124.734,82.14399999999999,123.92200000000001,59.052,131.018,133.261,128.791,27.634,134.463,89.663,134.483,115.273,133.46200000000002,141.334,140.139,63.84,136.898,104.079,150.319,284.528,158.56799999999998,266.112,156.811,30.656,153.16299999999998,28.86,164.97099999999998,21.281,169.59,221.072,167.864,73.074,166.271,268.738,180.205,105.309,201.125,274.002,106.72,,,,,,,,,,,,,,,,,,,,
195.25,781.0,,80.55,12.710999999999999,236.532,11.219000000000001,111.755,26.396,114.816,46.731,88.818,44.724,191.41400000000002,44.468999999999994,201.34,50.508,212.31799999999998,50.582,236.82299999999998,66.265,77.215,67.081,143.061,64.98,248.53599999999997,72.436,68.555,71.613,122.779,69.13600000000001,202.0,78.0,128.377,76.775,220.101,76.82,103.54899999999999,75.719,129.776,84.045,190.144,81.345,93.12100000000001,79.883,49.103,80.563,97.65700000000001,86.96799999999999,244.269,86.27600000000001,90.40799999999999,93.83200000000001,43.028999999999996,95.09299999999999,253.734,92.272,252.609,100.85,230.00599999999997,99.927,42.548,100.81200000000001,142.904,105.381,79.333,101.15899999999999,55.566,101.83,220.738,110.681,79.842,109.941,67.69,109.211,23.910999999999998,117.305,47.611000000000004,117.22399999999999,137.105,114.89399999999999,39.339,125.59200000000001,269.8,125.26,248.324,124.359,280.375,124.774,82.182,123.902,59.161,130.977,133.355,128.813,27.7,134.475,89.64299999999999,134.316,115.117,133.572,141.445,140.116,63.869,136.882,103.978,150.387,284.55400000000003,158.526,266.05,156.833,30.694000000000003,153.192,28.799,164.894,21.451,169.75,221.08900000000003,167.90200000000002,73.127,166.233,268.595,180.389,105.095,201.245,274.01599999999996,106.744,,,,,,,,,,,,,,,,,,,,
195.5,782.0,,80.653,12.673,236.56900000000002,11.158,111.745,26.250999999999998,114.789,46.63399999999999,88.73299999999999,44.645,191.648,44.262,201.56,50.443999999999996,212.324,50.67100000000001,236.899,66.294,77.20100000000001,67.079,143.083,64.985,248.49200000000002,72.461,68.561,71.59100000000001,122.766,69.06,201.58,77.459,128.349,76.767,220.106,76.82300000000001,103.585,75.694,129.793,84.06,190.172,81.373,93.133,79.881,49.119,80.611,97.725,86.789,244.253,86.3,90.416,93.839,43.026,95.103,253.75799999999998,92.275,252.55599999999998,100.786,230.09900000000002,99.941,42.597,100.77799999999999,142.928,105.37,79.35600000000001,101.171,55.56399999999999,101.835,220.672,110.522,79.913,109.89399999999999,67.735,109.212,23.983,117.346,47.81100000000001,117.23,137.10299999999998,114.84,39.304,125.59899999999999,269.76099999999997,125.255,248.33599999999998,124.38799999999999,280.383,124.79700000000001,82.236,123.936,59.298,130.995,133.369,128.77100000000002,27.691999999999997,134.488,89.665,134.35,115.148,133.66,141.50799999999998,140.211,63.948,136.91299999999998,104.015,150.407,284.556,158.529,266.10400000000004,156.91,30.789,153.203,28.643,164.87,21.432,169.84599999999998,221.34900000000002,168.05,73.149,166.234,268.543,180.56799999999998,105.087,201.322,274.064,106.741,,,,,,,,,,,,,,,,,,,,
195.75,783.0,,80.76899999999999,12.610999999999999,236.497,11.232000000000001,111.96799999999999,26.389,114.964,46.601000000000006,88.666,44.61,191.627,44.48,201.58900000000003,50.438,212.21,50.538000000000004,236.90200000000002,66.25,77.22399999999999,67.069,143.108,64.985,248.588,72.456,68.53399999999999,71.584,122.79899999999999,69.07300000000001,201.59,77.46,128.357,76.76100000000001,220.128,76.815,103.594,75.702,129.89600000000002,83.98,190.38400000000001,81.306,93.118,79.873,49.138999999999996,80.528,97.723,86.868,244.24099999999999,86.28,90.414,93.805,43.028999999999996,95.089,253.77,92.25399999999999,252.55200000000002,100.785,230.19799999999998,99.965,42.618,100.76100000000001,142.84,105.374,79.275,101.089,55.589,101.84299999999999,220.77,110.55799999999999,80.003,109.944,67.747,109.215,23.974,117.38600000000001,47.958999999999996,117.28,137.125,114.861,39.335,125.59100000000001,269.83299999999997,125.31700000000001,248.3,124.40700000000001,280.347,125.022,82.244,123.921,59.42,130.898,133.292,128.642,27.653000000000002,134.476,89.715,134.352,115.15299999999999,133.724,141.39600000000002,140.254,63.972,136.899,103.949,150.398,284.61,158.575,266.175,156.915,30.845,153.253,28.588,164.92,21.554000000000002,170.044,221.421,168.067,73.237,166.234,268.693,180.35,104.93700000000001,201.375,274.034,106.765,,,,,,,,,,,,,,,,,,,,
