TimesH,Frame,NoMissing,94,94,108,108,114,114,131,131,145,145,149,149,158,158,183,183,190,190,210,210,222,222,227,227,232,232,242,242,252,252,271,271,272,272,273,273,289,289,293,293,307,307,309,309,323,323,330,330,374,374,379,379,399,399,402,402,403,403,405,405,418,418,424,424,452,452,454,454,461,461,463,463,492,492,590,590,647,647,672,672,717,717,719,719,793,793,806,806,823,823,845,845,847,847,926,926,948,948,1001,1001,1044,1044,1078,1078,1199,1199,1207,1207,1317,1317
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
381.25,1525.0,,228.095,73.34100000000001,232.952,81.664,82.16,79.514,172.511,86.897,95.35,38.361999999999995,210.843,35.861,209.907,45.215,,,208.8,56.082,36.872,117.391,91.353,123.15899999999999,57.287,132.312,25.024,132.143,115.145,127.555,91.59,133.91299999999998,227.959,93.0,290.282,92.079,238.778,103.851,218.886,107.917,183.609,107.021,116.971,116.113,88.29799999999999,115.36200000000001,265.128,160.308,124.315,159.091,54.54600000000001,178.717,34.344,178.574,245.606,147.441,204.201,144.79399999999998,229.96400000000003,143.671,116.022,143.95600000000002,190.898,150.567,272.513,148.04399999999998,206.32299999999998,185.01,154.08700000000002,185.46200000000002,75.175,182.829,188.52,182.59099999999998,121.54899999999999,194.641,123.634,180.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381.5,1526.0,,228.085,73.35300000000001,232.935,81.623,82.178,79.579,172.578,86.82700000000001,95.35,38.361999999999995,210.72400000000002,35.768,209.88,45.28,,,208.785,56.111000000000004,36.944,117.334,91.352,123.12799999999999,57.24100000000001,132.237,25.000999999999998,132.171,115.15799999999999,127.55,91.556,133.75799999999998,227.956,93.02600000000001,290.379,92.06,238.80900000000003,103.896,218.885,107.904,183.489,107.001,116.978,116.07799999999999,88.25399999999999,115.345,265.127,160.23,124.633,159.137,54.68899999999999,178.75799999999998,34.287,178.521,245.67700000000002,147.34799999999998,204.295,144.796,230.00099999999998,143.63299999999998,115.993,143.995,190.997,150.636,272.48400000000004,148.096,206.368,185.075,154.03799999999998,185.44,75.317,182.81900000000002,188.542,182.643,121.0,194.0,123.64299999999999,180.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
381.75,1527.0,,228.127,73.332,232.951,81.609,82.236,79.471,172.678,86.869,95.351,38.361999999999995,210.773,35.834,210.017,45.244,,,208.697,56.218999999999994,37.102,117.397,91.3,123.175,57.32899999999999,132.195,25.054000000000002,132.122,115.194,127.58200000000001,91.631,133.849,227.957,93.02600000000001,290.55,92.057,238.80599999999998,103.869,219.21200000000002,107.954,183.565,107.04700000000001,116.98899999999999,116.03,88.24799999999999,115.34200000000001,265.10200000000003,160.226,124.648,159.19,54.802,178.77200000000002,34.577,178.532,245.674,147.298,204.283,144.797,230.013,143.615,116.012,144.002,191.00599999999997,150.661,272.486,148.07299999999998,206.34400000000002,185.0,154.063,185.47400000000002,75.28699999999999,182.822,188.53400000000002,182.692,121.36200000000001,194.497,123.50299999999999,180.679,181.532,84.595,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382.0,1528.0,,228.18400000000003,73.288,232.94299999999998,81.632,82.294,79.45,172.72799999999998,86.993,95.351,38.361999999999995,210.872,35.986999999999995,209.86900000000003,45.379,,,208.80900000000003,56.336999999999996,37.236999999999995,117.463,91.28399999999999,123.10600000000001,57.277,132.204,25.092,132.129,115.302,127.458,91.671,133.865,227.96099999999998,93.06,290.58299999999997,92.07700000000001,238.81900000000002,103.815,219.516,108.124,183.588,107.085,116.979,116.056,88.23700000000001,115.339,265.153,160.398,124.96700000000001,159.221,54.858999999999995,178.828,34.607,178.56099999999998,245.737,147.351,204.326,144.755,229.99900000000002,143.6,116.01700000000001,144.04,190.905,150.56799999999998,272.471,148.085,206.363,185.00400000000002,154.041,185.544,75.445,182.86700000000002,188.41400000000002,182.658,121.116,194.11700000000002,123.465,180.702,181.555,84.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382.25,1529.0,,228.21,73.33,233.019,81.507,82.305,79.282,172.83,86.932,95.351,38.361999999999995,210.847,35.986,209.951,45.497,80.40899999999999,54.23,209.02200000000002,56.398,37.474000000000004,117.55,91.20200000000001,123.066,57.208999999999996,132.085,25.156,132.134,115.557,127.321,91.676,133.868,227.99200000000002,93.103,290.644,92.073,238.769,103.904,219.53099999999998,108.23,183.548,107.07700000000001,116.96600000000001,116.12,88.23200000000001,115.34299999999999,265.11400000000003,160.34799999999998,125.26799999999999,159.216,54.838,178.821,34.786,178.545,245.828,147.295,204.394,144.738,230.043,143.591,116.036,144.05,191.195,150.892,272.416,148.10299999999998,206.368,185.028,154.062,185.662,75.362,182.873,188.396,182.609,121.229,194.49099999999999,123.439,180.9,181.71200000000002,84.78399999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382.5,1530.0,,228.21099999999998,73.339,233.04,81.658,82.334,79.479,172.937,86.941,95.351,38.361999999999995,210.956,36.129,210.042,45.551,80.156,54.513000000000005,208.976,56.426,37.648,117.665,91.35799999999999,123.139,57.148999999999994,132.14700000000002,25.185,132.126,115.713,127.249,91.764,133.983,228.053,93.03299999999999,290.628,92.072,238.825,103.914,219.58900000000003,108.197,183.505,107.178,116.96600000000001,116.11200000000001,88.24600000000001,115.34,265.085,160.314,125.459,159.159,54.75,178.83,34.777,178.555,245.82299999999998,147.221,204.59599999999998,144.395,230.047,143.559,116.06299999999999,144.072,191.24900000000002,150.983,272.406,148.105,206.449,185.09599999999998,154.018,185.688,75.404,182.917,188.322,182.588,121.225,194.514,123.454,180.89700000000002,182.0,84.921,218.775,128.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
382.75,1531.0,,228.287,73.375,233.024,81.635,82.425,79.709,172.997,86.92399999999999,95.351,38.361999999999995,210.979,36.205999999999996,209.861,45.74100000000001,80.043,54.92,209.033,56.498999999999995,37.881,117.689,91.331,123.105,57.038000000000004,132.171,25.223000000000003,132.123,115.805,127.18299999999999,91.89399999999999,134.08,228.078,93.08,290.76,92.053,238.765,103.905,219.75599999999997,108.334,183.52900000000002,107.23700000000001,117.016,116.15799999999999,88.25399999999999,115.353,264.98900000000003,160.292,125.552,159.17600000000002,54.8,178.832,34.884,178.565,245.68400000000003,147.168,204.535,144.52700000000002,230.13299999999998,143.529,116.052,144.065,191.234,150.86700000000002,272.405,148.127,206.498,185.185,154.019,185.785,75.35600000000001,182.959,188.283,182.58700000000002,121.2,194.435,123.42,180.933,182.082,85.09700000000001,218.965,128.72299999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383.0,1532.0,,228.297,73.389,233.03799999999998,81.501,82.415,79.91,173.111,86.96,95.351,38.361999999999995,210.93599999999998,36.12,210.05700000000002,45.688,79.812,55.428000000000004,209.146,56.681000000000004,37.991,117.802,91.391,123.14200000000001,57.137,132.046,25.33,132.20600000000002,115.837,127.14399999999999,91.916,134.267,228.15,93.059,290.768,92.069,238.748,103.916,219.81599999999997,108.285,183.51,107.255,116.971,116.185,88.33200000000001,115.34299999999999,265.02299999999997,160.23,125.50399999999999,159.128,54.903999999999996,178.832,34.971,178.453,245.822,147.27100000000002,204.517,144.434,230.158,143.52,116.045,144.09,191.24,150.798,272.457,148.137,206.511,185.229,154.039,185.821,75.358,182.993,188.197,182.62400000000002,121.3,194.37900000000002,123.436,180.972,182.33900000000003,85.238,218.959,128.732,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383.25,1533.0,,228.30900000000003,73.362,233.011,81.542,82.38799999999999,79.922,173.196,87.00399999999999,95.351,38.363,210.915,36.113,210.137,45.653999999999996,79.804,55.718,209.188,56.69,38.164,117.855,91.29799999999999,123.109,57.268,132.086,25.37,132.207,115.855,127.14200000000001,92.035,134.555,228.14700000000002,93.131,290.807,92.07799999999999,238.79,103.85,219.86,108.086,183.52700000000002,107.311,116.969,116.197,88.348,115.34100000000001,265.04,160.412,125.664,159.105,54.986000000000004,178.895,35.027,178.305,245.775,147.215,204.457,144.588,230.28,143.482,116.055,144.089,191.305,150.77200000000002,272.497,148.19,206.542,185.213,154.099,185.794,75.32300000000001,183.076,188.078,182.578,121.286,194.145,123.43700000000001,180.94299999999998,182.46599999999998,85.242,219.00400000000002,128.642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
383.5,1534.0,,228.273,73.366,233.054,81.696,82.405,79.935,173.30700000000002,87.029,95.351,38.363,210.90900000000002,36.115,210.106,45.638999999999996,79.766,55.793,209.016,56.816,38.236,117.884,91.277,123.109,57.336999999999996,132.001,25.385,132.24200000000002,115.899,127.191,92.10600000000001,134.701,228.15200000000002,93.12299999999999,290.808,92.035,238.88099999999997,103.91799999999999,219.96200000000002,108.336,183.429,107.348,116.979,116.184,88.366,115.316,265.019,160.30700000000002,125.73299999999999,159.07299999999998,55.173,178.91,35.073,178.3,245.94,147.254,204.577,144.53,230.268,143.516,116.131,144.11700000000002,191.37900000000002,150.721,272.539,148.201,206.535,185.33,154.161,185.81599999999997,75.404,183.08700000000002,188.023,182.61900000000003,121.34,194.028,123.48,180.896,182.389,85.145,219.025,128.627,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
