TimesH,Frame,NoMissing,147,147,184,184,194,194,212,212,214,214,229,229,233,233,252,252,257,257,288,288,337,337,348,348,654,654,668,668,694,694,830,830,1096,1096,1155,1155,1285,1285,2413,2413
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
201.25,805.0,,100.126,130.319,73.845,114.421,147.753,149.736,236.53400000000002,156.501,46.86600000000001,156.261,56.968999999999994,136.751,99.56299999999999,140.82399999999998,54.251000000000005,175.84,233.46900000000002,177.893,71.79,166.96599999999998,254.34,187.80599999999998,227.422,191.14,96.071,164.192,116.12200000000001,176.55900000000003,237.048,142.438,,,,,,,,,,
201.5,806.0,,100.141,130.334,73.836,114.46700000000001,147.85,149.722,236.50799999999998,156.506,46.875,156.31799999999998,56.903,136.713,99.55,140.89700000000002,54.26,175.826,233.457,177.917,71.753,166.91400000000002,254.358,187.826,227.563,191.292,96.134,164.16,116.30799999999999,176.438,237.18,142.352,,,,,,,,,,
201.75,807.0,,99.984,130.423,73.86,114.48,147.955,149.82399999999998,236.463,156.53799999999998,47.038000000000004,156.349,56.97,136.776,99.59,140.909,54.254,175.80200000000002,233.43200000000002,177.956,71.87,166.75599999999997,254.38099999999997,187.84900000000002,227.517,191.39,96.243,164.09900000000002,116.385,176.37599999999998,237.179,142.352,,,,,,,,,,
202.0,808.0,,99.96,130.43,73.892,114.478,148.089,149.783,236.0,156.0,47.001999999999995,156.264,56.99,136.933,99.62899999999999,140.93,54.27,175.80900000000003,233.40599999999998,177.95,71.819,166.748,254.326,187.842,227.484,191.304,96.265,164.076,116.295,176.408,237.047,142.468,,,,,,,,,,
202.25,809.0,,100.016,130.392,73.899,114.499,148.135,149.857,236.419,156.498,46.982,156.264,57.035,136.981,99.65,140.971,54.253,175.797,233.44099999999997,177.94799999999998,71.741,166.905,254.325,187.87,227.41400000000002,191.274,96.366,164.075,116.27799999999999,176.503,237.196,142.259,,,,,,,,,,
202.5,810.0,,100.12100000000001,130.232,73.903,114.55799999999999,148.08,149.75799999999998,236.0,156.0,47.187,156.418,57.103,136.977,99.681,140.975,54.27,175.794,233.403,177.94,71.922,166.755,254.40599999999998,187.89700000000002,227.47400000000002,191.278,96.491,164.028,116.102,176.645,237.29,142.248,,,,,,,,,,
202.75,811.0,,100.181,129.971,73.949,114.588,148.084,149.84,236.417,156.421,47.006,156.257,57.053999999999995,136.88,99.698,141.015,54.262,175.78,233.416,177.94799999999998,71.87100000000001,166.86900000000003,254.41099999999997,187.88099999999997,227.511,191.416,96.514,164.005,116.10700000000001,176.60299999999998,237.292,142.238,,,,,,,,,,
203.0,812.0,,100.193,130.014,73.944,114.61200000000001,148.063,149.797,236.50799999999998,156.575,46.845,156.248,57.033,136.965,99.68,141.011,54.272,175.748,233.46599999999998,177.946,71.73100000000001,167.033,254.423,187.878,227.525,191.345,96.531,164.03900000000002,116.124,176.541,237.34400000000002,142.197,,,,,,,,,,
203.25,813.0,,100.109,130.08,74.012,114.665,148.099,149.71,236.505,156.571,46.966,156.292,57.099,137.129,99.669,141.102,54.278999999999996,175.75099999999998,233.541,177.855,71.73100000000001,167.012,254.46599999999998,187.88400000000001,227.672,191.553,96.62700000000001,163.96599999999998,116.204,176.507,237.43,142.256,,,,,,,,,,
203.5,814.0,,100.199,130.149,73.992,114.669,148.144,149.863,236.45,156.482,47.062,156.326,57.076,137.173,99.649,141.162,54.271,175.733,233.481,177.928,71.71300000000001,167.067,254.46200000000002,187.90599999999998,227.683,191.545,96.65700000000001,163.97799999999998,116.16799999999999,176.71900000000002,237.453,142.184,,,,,,,,,,
203.75,815.0,,100.18799999999999,130.241,73.937,114.67299999999999,148.27700000000002,149.874,236.53900000000002,156.576,46.96,156.28,57.115,137.316,99.62799999999999,141.09,54.275,175.72099999999998,233.555,177.88299999999998,71.735,167.06099999999998,254.47400000000002,187.892,227.63400000000001,191.75,96.63600000000001,163.97799999999998,116.249,176.627,237.403,142.213,,,,,,,,,,
204.0,816.0,,100.15799999999999,130.472,74.002,114.68,148.21200000000002,149.858,236.454,156.496,46.992,156.255,57.118,137.442,99.65,141.02200000000002,54.298,175.708,233.56799999999998,177.912,71.71300000000001,167.081,254.49900000000002,187.83599999999998,227.72400000000002,191.727,96.62799999999999,164.016,116.228,176.51,237.523,142.063,,,,,,,,,,
204.25,817.0,,100.25299999999999,130.333,74.031,114.68299999999999,148.208,149.88299999999998,236.56099999999998,156.503,47.358999999999995,156.458,57.159,137.497,99.652,141.039,54.297,175.676,233.628,177.843,71.64399999999999,167.15900000000002,254.47400000000002,187.875,227.71200000000002,191.771,96.64200000000001,163.982,116.25399999999999,176.583,237.608,142.04399999999998,,,,,,,,,,
204.5,818.0,,100.296,130.25,74.039,114.71,148.131,149.88,236.68200000000002,156.526,47.632,156.59,57.294,137.529,99.684,141.07,54.285,175.665,233.63400000000001,177.86,71.736,167.12,254.445,187.862,227.80700000000002,191.804,96.619,163.985,116.241,176.688,237.63400000000001,142.045,91.79299999999999,159.208,,,,,,,,
204.75,819.0,,100.37899999999999,130.181,74.017,114.73899999999999,148.119,149.803,236.644,156.597,47.715,156.576,57.332,137.536,99.69200000000001,141.053,54.278999999999996,175.65900000000002,233.65200000000002,177.912,71.613,167.24,254.495,187.826,227.864,191.75599999999997,96.618,164.002,116.182,176.815,237.669,142.16,91.781,159.27,,,,,,,,
205.0,820.0,,100.37299999999999,130.196,73.988,114.70100000000001,147.975,149.745,236.638,156.483,47.806000000000004,156.565,57.378,137.523,99.665,141.09,54.288000000000004,175.64,233.695,177.89,71.671,167.146,254.547,187.824,227.822,191.745,96.62,164.019,116.20100000000001,176.77700000000002,237.702,142.185,,,,,,,,,,
205.25,821.0,,100.348,130.314,74.043,114.706,147.871,149.60299999999998,236.733,156.523,47.788999999999994,156.575,57.507,137.54,99.654,141.101,54.278,175.636,233.696,177.882,71.575,167.365,254.53599999999997,187.797,227.858,191.771,96.631,164.0,116.176,176.66099999999997,237.64,142.22,91.801,159.291,,,,,,,,
