TimesH,Frame,NoMissing,92,92,105,105,126,126,142,142,176,176,182,182,217,217,228,228,250,250,260,260,271,271,279,279,285,285,288,288,289,289,292,292,317,317,327,327,329,329,348,348,353,353,392,392,393,393,394,394,422,422,430,430,433,433,434,434,640,640,803,803,808,808,897,897
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
339.25,1357.0,,172.22,106.75399999999999,133.713,99.334,258.466,117.835,155.095,110.024,192.343,93.361,148.31799999999998,91.072,,,245.132,154.82299999999998,247.33900000000003,168.855,75.816,167.857,223.68900000000002,137.203,249.74200000000002,133.858,200.15400000000002,129.398,122.948,127.757,276.673,127.084,220.31799999999998,127.488,208.075,142.884,192.896,139.997,119.05,221.422,219.84400000000002,210.21599999999998,201.415,206.50599999999997,244.408,183.49400000000003,192.93200000000002,183.03099999999998,113.67200000000001,181.41400000000002,108.01700000000001,201.521,96.287,195.257,229.887,190.649,140.55200000000002,194.562,217.415,194.238,,,,,,
339.5,1358.0,,172.149,106.713,133.763,99.405,258.452,117.86,155.07,110.064,192.324,93.318,148.27200000000002,91.15299999999999,,,245.128,154.828,247.312,168.85,75.809,167.859,223.65400000000002,137.189,249.753,133.88,200.165,129.406,122.919,127.76299999999999,276.65,127.09200000000001,220.343,127.494,208.032,142.783,192.905,139.997,119.024,221.42700000000002,219.851,210.222,201.429,206.502,244.418,183.498,192.922,182.99900000000002,113.68299999999999,181.457,108.015,201.50599999999997,96.275,195.293,229.842,190.65400000000002,140.542,194.609,217.46200000000002,194.236,,,,,,
339.75,1359.0,,172.15900000000002,106.73299999999999,133.761,99.265,258.434,117.852,155.188,109.96700000000001,192.304,93.29799999999999,148.257,91.179,269.538,159.946,245.132,154.821,247.304,168.873,75.816,167.858,223.64700000000002,137.22899999999998,249.75,133.89600000000002,200.18200000000002,129.375,122.96700000000001,127.78399999999999,276.62,127.085,220.35,127.51799999999999,208.00099999999998,142.784,192.90900000000002,139.997,118.99700000000001,221.424,219.828,210.227,201.416,206.52200000000002,244.41299999999998,183.49099999999999,192.92,183.03099999999998,113.72399999999999,181.433,107.99600000000001,201.505,96.274,195.188,229.84099999999998,190.649,140.533,194.597,217.525,194.137,,,,,,
340.0,1360.0,,172.18099999999998,106.71,133.816,99.21799999999999,258.443,117.87200000000001,155.166,109.969,192.261,93.243,148.616,91.04899999999999,269.54,159.92,245.135,154.815,247.291,168.875,75.831,167.856,223.697,137.092,249.755,133.929,200.157,129.431,122.93799999999999,127.77600000000001,276.617,127.087,220.34799999999998,127.52799999999999,207.984,142.775,192.887,140.009,119.01799999999999,221.46900000000002,219.831,210.222,201.40400000000002,206.50099999999998,244.419,183.49900000000002,192.91,183.014,113.796,181.382,108.024,201.47799999999998,96.25200000000001,195.19099999999997,229.888,190.63099999999997,140.536,194.618,217.597,194.09900000000002,,,,,,
340.25,1361.0,,172.18099999999998,106.726,133.816,99.33200000000001,258.452,117.865,155.127,109.978,192.2,93.264,148.236,91.16,269.447,159.908,245.13299999999998,154.82299999999998,247.31099999999998,168.872,75.843,167.854,223.612,137.29399999999998,249.77,133.936,200.12400000000002,129.378,122.89,127.76100000000001,276.639,127.12200000000001,220.389,127.54899999999999,207.916,142.946,192.9,139.99200000000002,119.036,221.49400000000003,219.852,210.21400000000003,201.394,206.52700000000002,244.41,183.495,192.918,183.06400000000002,113.876,181.392,108.03,201.47,96.28399999999999,195.207,229.898,190.612,140.548,194.653,217.622,194.04,,,,,,
340.5,1362.0,,172.171,106.735,133.804,99.439,258.467,117.86200000000001,155.139,110.052,192.19,93.251,148.10299999999998,91.17299999999999,269.532,159.90200000000002,245.136,154.816,247.315,168.856,75.854,167.859,223.856,136.726,249.768,133.945,200.12400000000002,129.327,122.749,127.777,276.613,127.10700000000001,220.35,127.56,207.843,142.982,192.908,140.00799999999998,119.015,221.555,219.87,210.204,201.389,206.546,244.419,183.503,192.898,183.079,113.87100000000001,181.399,108.04700000000001,201.475,96.259,195.205,229.87099999999998,190.672,140.497,194.65200000000002,217.457,194.203,,,,,,
340.75,1363.0,,172.09799999999998,106.709,133.811,99.46,258.455,117.861,155.088,110.194,192.227,93.225,148.19299999999998,91.132,269.54200000000003,159.894,245.13,154.80200000000002,247.33,168.86,75.836,167.842,224.041,136.352,249.793,133.94299999999998,200.125,129.273,122.809,127.77,276.62,127.12700000000001,220.40099999999998,127.565,207.861,143.042,192.903,140.02100000000002,119.03299999999999,221.582,219.891,210.207,201.391,206.53599999999997,244.429,183.5,192.90599999999998,183.075,113.94200000000001,181.433,108.051,201.481,96.29799999999999,195.11599999999999,229.9,190.6,140.484,194.61,217.46400000000003,194.2,,,,,,
341.0,1364.0,,172.104,106.706,133.819,99.35600000000001,258.45099999999996,117.846,155.141,110.20200000000001,192.21,93.264,147.925,91.20100000000001,269.519,159.847,245.135,154.812,247.30599999999998,168.86,75.82600000000001,167.83599999999998,223.96900000000002,136.54,249.78799999999998,133.935,200.102,129.281,122.816,127.829,276.611,127.126,220.37400000000002,127.579,207.852,143.03,192.922,140.032,119.023,221.57,219.93200000000002,210.217,201.41099999999997,206.53799999999998,244.416,183.50599999999997,192.86900000000003,183.13,113.958,181.46200000000002,108.02600000000001,201.525,96.333,195.153,229.89,190.565,140.52,194.671,217.38400000000001,194.243,,,,,,
341.25,1365.0,,172.112,106.663,133.833,99.419,258.485,117.84,155.122,110.304,192.199,93.245,,,269.507,159.805,245.12099999999998,154.81,247.295,168.857,75.814,167.84799999999998,224.0,136.505,249.803,133.92700000000002,200.114,129.257,122.81700000000001,127.79799999999999,276.653,127.14399999999999,220.416,127.59200000000001,207.822,143.054,192.90200000000002,140.033,119.023,221.63,219.928,210.231,201.47,206.515,244.423,183.515,192.83900000000003,183.095,113.98899999999999,181.516,108.039,201.551,96.309,195.065,229.88099999999997,190.63,140.482,194.67700000000002,217.395,194.27900000000002,,,,,,
341.5,1366.0,,172.158,106.708,133.878,99.402,258.51,117.818,155.121,110.29799999999999,192.097,93.264,,,269.55,159.768,245.112,154.821,247.332,168.855,75.845,167.88099999999997,224.054,136.386,249.80900000000003,133.92600000000002,200.08900000000003,129.22299999999998,122.838,127.773,276.652,127.163,220.393,127.59100000000001,207.735,143.077,192.891,140.04,119.001,221.636,219.928,210.235,201.46,206.5,244.426,183.518,192.83700000000002,183.08599999999998,114.057,181.50799999999998,108.01799999999999,201.577,96.322,195.054,229.979,190.646,140.484,194.701,217.422,194.26,,,,,,
341.75,1367.0,,172.217,106.704,133.868,99.447,258.512,117.81700000000001,155.148,110.366,192.19799999999998,93.32700000000001,,,269.529,159.678,245.102,154.82,247.313,168.87599999999998,75.868,167.86700000000002,223.908,136.668,249.81400000000002,133.936,200.06400000000002,129.197,122.961,127.755,276.668,127.186,220.435,127.61200000000001,207.644,143.119,192.88299999999998,140.083,119.01100000000001,221.615,219.92,210.24200000000002,201.43599999999998,206.50099999999998,244.421,183.511,192.812,183.09900000000002,114.01899999999999,181.47099999999998,108.00200000000001,201.63,96.287,195.051,229.985,190.597,140.49200000000002,194.687,217.36900000000003,194.303,,,,,,
342.0,1368.0,,172.201,106.727,133.93200000000002,99.59700000000001,258.513,117.794,155.018,110.432,192.204,93.29799999999999,,,269.529,159.789,245.102,154.806,247.333,168.86599999999999,75.889,167.84599999999998,223.791,136.935,249.83599999999998,133.954,200.083,129.18,122.936,127.81299999999999,276.665,127.177,220.465,127.63600000000001,207.627,143.107,192.88299999999998,140.075,119.005,221.644,219.923,210.234,201.479,206.51,244.433,183.524,192.783,183.07299999999998,114.005,181.489,108.01299999999999,201.66400000000002,96.316,195.074,230.01,190.575,140.485,194.665,217.30599999999998,194.338,,,,,,
342.25,1369.0,,172.15,106.75200000000001,133.799,99.50200000000001,258.48400000000004,117.83,154.995,110.38799999999999,192.197,93.3,150.359,91.33200000000001,269.518,159.75799999999998,245.09900000000002,154.787,247.292,168.861,75.918,167.855,223.733,137.093,249.845,133.94899999999998,200.085,129.15,122.985,127.818,276.647,127.2,220.482,127.645,207.644,143.101,192.899,140.033,118.99799999999999,221.67700000000002,219.93599999999998,210.24599999999998,201.505,206.50799999999998,244.421,183.525,192.745,183.092,114.065,181.5,108.009,201.68400000000003,96.32,195.042,230.003,190.62099999999998,140.408,194.658,217.145,194.516,,,,,,
342.5,1370.0,,172.175,106.75,133.893,99.56700000000001,258.496,117.82,155.076,110.355,192.234,93.3,150.424,91.60799999999999,269.474,159.83100000000002,245.109,154.79,247.266,168.865,75.919,167.84799999999998,223.662,137.196,249.842,133.988,200.09,129.11,123.03399999999999,127.82799999999999,276.643,127.189,220.497,127.645,207.46099999999998,143.438,192.898,140.015,119.014,221.72799999999998,219.94,210.25,201.485,206.528,244.422,183.514,192.717,183.12,114.088,181.524,107.994,201.706,96.27799999999999,194.97099999999998,229.988,190.673,140.41299999999998,194.69,217.12599999999998,194.55599999999998,,,,,,
342.75,1371.0,,172.195,106.781,133.838,99.54299999999999,258.51599999999996,117.779,155.043,110.402,192.271,93.245,150.07299999999998,91.61200000000001,269.513,159.817,245.104,154.796,247.245,168.81099999999998,75.925,167.86900000000003,223.71400000000003,137.094,249.85,133.986,200.104,129.137,122.988,127.822,276.66200000000003,127.197,220.482,127.65899999999999,207.41,143.543,192.903,140.042,118.999,221.726,219.94299999999998,210.25400000000002,201.5,206.578,244.408,183.50900000000001,192.72099999999998,183.077,114.083,181.547,107.97200000000001,201.725,96.292,195.03,229.975,190.71400000000003,140.39,194.671,217.127,194.555,,,,,,
343.0,1372.0,,172.2,106.838,133.88299999999998,99.569,258.502,117.79899999999999,155.066,110.34,192.257,93.26799999999999,150.077,91.625,269.464,159.759,245.102,154.793,247.245,168.81,75.976,167.877,223.687,137.054,249.872,134.001,200.08599999999998,129.11,122.991,127.854,276.688,127.18299999999999,220.46200000000002,127.68299999999999,207.31,143.607,192.903,140.045,118.985,221.722,219.97099999999998,210.25099999999998,201.537,206.56900000000002,244.43099999999998,183.516,192.74200000000002,183.083,114.109,181.521,107.95,201.72299999999998,96.309,195.06400000000002,229.97299999999998,190.68400000000003,140.39600000000002,194.675,217.31400000000002,194.355,,,,,,
343.25,1373.0,,172.22099999999998,106.779,133.88299999999998,99.587,258.51099999999997,117.79799999999999,155.065,110.429,192.24099999999999,93.38,150.135,91.73200000000001,269.524,159.79399999999998,245.111,154.787,247.235,168.808,76.008,167.875,223.798,136.888,249.878,133.982,200.072,129.14600000000002,123.02799999999999,127.876,276.682,127.18700000000001,220.452,127.684,207.235,143.664,192.9,140.032,119.006,221.785,219.99900000000002,210.22099999999998,201.54,206.52700000000002,244.43400000000003,183.52700000000002,192.703,183.05599999999998,114.118,181.548,107.93799999999999,201.722,96.319,195.0,229.998,190.643,140.358,194.665,217.235,194.49200000000002,,,,,,
343.5,1374.0,,172.222,106.734,133.881,99.666,258.493,117.78399999999999,155.124,110.38799999999999,192.233,93.39299999999999,150.101,91.815,269.441,159.704,245.108,154.78799999999998,247.215,168.813,76.036,167.872,223.80900000000003,136.887,249.894,133.965,200.03900000000002,129.136,123.094,127.92399999999999,276.675,127.189,220.437,127.68799999999999,207.028,143.947,192.90599999999998,140.07,118.98100000000001,221.801,219.977,210.215,201.555,206.52900000000002,244.452,183.53099999999998,192.701,183.00799999999998,114.148,181.548,107.905,201.737,96.34100000000001,194.958,229.99400000000003,190.644,140.315,194.671,217.263,194.563,,,,,,
