TimesH,Frame,NoMissing,5,5,13,13,19,19,27,27,28,28,33,33,37,37,40,40,52,52,55,55,62,62,63,63,80,80,85,85,398,398,421,421,423,423,424,424,428,428,429,429,430,430,431,431,432,432,434,434,436,436,443,443,445,445,446,446,448,448,451,451,452,452,453,453,454,454,456,456,457,457,464,464,465,465,467,467,468,468,475,475,476,476,480,480,488,488,491,491,493,493,495,495,496,496,500,500,502,502,504,504,518,518,527,527,528,528,531,531,534,534,537,537,543,543,716,716,900,900,926,926,1088,1088
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
2.0,8.0,,203.61,160.408,208.37599999999998,165.245,194.92700000000002,165.054,248.46200000000002,171.40599999999998,69.137,171.94099999999997,120.84,171.43400000000003,58.603,170.012,79.23899999999999,167.502,73.087,174.929,215.11700000000002,173.36900000000003,248.588,183.195,105.369,183.672,263.289,185.18599999999998,211.21,184.357,134.493,105.042,252.80200000000002,117.178,229.22099999999998,114.994,209.769,115.40899999999999,191.93200000000002,120.38,139.325,120.454,126.836,119.887,60.005,119.62100000000001,46.583,118.77799999999999,97.541,109.47200000000001,213.736,106.867,109.391,112.056,136.107,111.79899999999999,189.84799999999998,110.204,251.768,129.959,230.66299999999998,128.659,204.142,129.409,187.067,128.901,94.583,129.523,69.988,135.048,97.90899999999999,133.905,104.074,124.65100000000001,72.669,124.714,205.088,123.035,122.488,123.309,259.368,125.822,246.748,124.478,135.702,143.548,86.99700000000001,137.739,240.783,136.194,115.667,136.327,232.28900000000002,135.418,105.495,139.533,222.532,139.01,249.112,138.454,90.029,148.069,233.045,152.89600000000002,196.524,149.189,139.334,148.55100000000002,119.963,150.305,97.53299999999999,156.485,87.369,158.119,265.835,153.576,93.0,149.0,,,,,,
2.25,9.0,,203.64,160.299,208.33,165.262,194.94,164.989,248.40200000000002,171.422,69.093,171.952,120.819,171.295,58.733000000000004,169.94400000000002,79.197,167.44799999999998,73.095,174.945,215.03799999999998,173.43599999999998,248.548,183.173,105.334,183.613,263.328,185.112,211.225,184.342,134.422,105.03,252.805,117.17299999999999,229.173,114.884,209.82299999999998,115.31700000000001,191.922,120.355,139.299,120.412,126.875,119.85,60.055,119.43,46.31399999999999,118.54299999999999,97.40100000000001,109.35600000000001,213.77599999999998,106.91799999999999,109.51700000000001,112.376,136.099,111.848,189.85299999999998,110.119,251.72799999999998,129.942,230.695,128.60399999999998,204.118,129.41299999999998,187.03799999999998,128.891,94.557,129.486,69.954,135.642,97.82,133.813,104.094,124.62899999999999,72.658,124.705,205.072,123.06299999999999,122.54,123.25,259.35200000000003,125.82,246.825,124.436,135.743,143.569,86.96799999999999,137.72,240.803,136.191,115.64399999999999,136.329,232.375,135.221,105.09700000000001,139.494,222.46900000000002,139.02700000000002,249.16,138.469,90.095,148.039,233.03400000000002,153.026,196.47799999999998,149.235,139.345,148.599,119.95,150.274,97.50299999999999,156.511,87.321,158.108,265.811,153.577,92.696,149.002,,,,,,
2.5,10.0,,203.67700000000002,160.21,208.424,165.237,194.89,165.03799999999998,248.41099999999997,171.424,69.054,171.84,120.82,171.22099999999998,58.653,169.92700000000002,79.15,167.357,73.115,174.94,215.028,173.388,248.582,183.114,105.324,183.49200000000002,263.341,185.148,211.237,184.37099999999998,134.423,104.98100000000001,252.808,117.152,229.185,114.82600000000001,209.695,115.416,191.985,120.29,139.275,120.39200000000001,126.876,119.82799999999999,60.06399999999999,119.33,46.083999999999996,119.152,97.39200000000001,109.40100000000001,213.725,106.88600000000001,109.579,112.39299999999999,136.004,111.751,189.972,110.212,251.75799999999998,129.90200000000002,230.72400000000002,128.589,204.12900000000002,129.493,187.02,128.871,94.525,129.491,69.9,135.523,97.774,133.767,104.037,124.619,72.58,124.816,205.012,123.02600000000001,122.541,123.249,259.37,125.819,246.75400000000002,124.45700000000001,135.78799999999998,143.512,86.93,137.69299999999998,240.803,136.159,115.602,136.309,232.451,135.076,105.071,139.438,222.485,138.977,249.24900000000002,138.41899999999998,90.081,148.065,233.053,153.085,196.47299999999998,149.214,139.252,148.525,119.93299999999999,150.276,97.535,156.484,87.24,158.11,265.832,153.613,,,,,,,,
2.75,11.0,,203.75599999999997,160.047,208.275,165.3,194.97,165.032,248.423,171.418,69.0,171.915,120.806,171.217,58.658,169.933,79.145,167.30700000000002,73.05,174.923,214.99400000000003,173.428,248.58599999999998,183.06400000000002,105.3,183.683,263.393,185.08,211.205,184.356,134.329,104.87899999999999,252.815,117.15700000000001,229.095,114.866,209.704,115.469,191.983,120.29299999999999,139.197,120.369,126.98899999999999,119.802,60.032,119.32799999999999,46.216,119.243,97.29899999999999,109.29899999999999,213.873,106.84,109.51,112.441,135.959,111.579,189.946,110.186,251.771,129.887,230.71599999999998,128.562,204.179,129.484,187.00599999999997,128.849,94.82,130.156,69.875,135.6,97.695,133.718,104.01700000000001,124.59899999999999,72.536,124.639,204.959,123.035,122.535,123.24799999999999,259.389,125.811,246.702,124.316,135.819,143.497,86.881,137.605,240.812,136.16299999999998,115.60799999999999,136.289,232.479,134.931,105.125,139.395,222.575,138.868,249.27200000000002,138.423,90.014,148.114,233.063,153.031,196.477,149.22899999999998,139.235,148.554,119.935,150.264,97.516,156.491,87.117,158.202,265.832,153.611,92.98899999999999,149.048,,,,,,
3.0,12.0,,203.798,159.986,208.333,165.24,195.11700000000002,165.175,248.419,171.456,69.006,171.87099999999998,120.831,171.201,58.663999999999994,169.915,79.107,167.25799999999998,73.057,174.937,215.081,173.44299999999998,248.607,183.047,105.315,183.486,263.355,184.99599999999998,211.27200000000002,184.326,134.386,104.76299999999999,252.78799999999998,117.14200000000001,229.037,114.86,209.896,115.25299999999999,191.99599999999998,120.178,139.266,120.374,127.07700000000001,119.831,60.03,119.131,46.223,119.50200000000001,97.306,109.196,213.826,106.86399999999999,109.693,112.609,135.977,111.603,189.922,110.27600000000001,251.771,129.894,230.7,128.582,204.199,129.501,186.98,128.819,94.792,130.11,69.846,135.515,97.72200000000001,133.667,104.083,124.569,72.50399999999999,124.74700000000001,204.89700000000002,123.04899999999999,122.50200000000001,123.28,259.401,125.84700000000001,246.625,124.396,135.918,143.256,86.824,137.533,240.829,136.185,115.617,136.264,232.481,135.012,105.13,139.374,222.55599999999998,138.91,249.294,138.461,89.991,148.115,233.185,152.876,196.421,149.262,139.243,148.566,119.949,150.267,97.49,156.446,87.15100000000001,158.178,265.829,153.601,93.663,149.142,,,,,,
3.25,13.0,,203.799,159.812,208.437,165.187,194.99200000000002,165.255,248.40599999999998,171.452,68.89399999999999,171.803,120.8,171.149,58.589,169.919,79.134,167.30200000000002,73.009,174.942,215.13400000000001,173.377,248.565,183.02200000000002,105.361,183.46200000000002,263.33,184.955,211.273,184.351,134.437,104.756,252.783,117.10700000000001,229.016,114.884,209.995,115.147,192.06099999999998,120.25,139.21,120.324,127.101,119.796,59.998999999999995,119.23700000000001,46.386,119.491,97.189,109.163,213.80700000000002,106.806,109.764,112.615,135.989,111.595,189.922,110.32600000000001,251.703,129.855,230.7,128.609,204.16400000000002,129.53799999999998,186.981,128.814,,,69.83,135.61700000000002,97.682,133.628,104.053,124.52600000000001,72.444,124.735,204.88299999999998,123.03200000000001,122.47399999999999,123.28399999999999,259.422,125.855,246.535,124.36,135.92600000000002,143.494,86.787,137.512,240.845,136.186,115.613,136.26,232.50900000000001,134.989,105.17200000000001,139.352,222.641,138.894,249.322,138.42600000000002,89.93700000000001,148.076,233.396,152.433,196.38,149.321,139.267,148.512,119.98299999999999,150.241,97.488,156.493,87.038,158.232,265.825,153.629,93.72200000000001,149.15200000000002,,,,,,
3.5,14.0,,203.815,159.766,208.46400000000003,165.11900000000003,194.872,165.205,248.425,171.44099999999997,68.89699999999999,171.85,120.815,171.12599999999998,58.665,169.99200000000002,79.105,167.24400000000003,72.993,174.93400000000003,215.13400000000001,173.31799999999998,248.642,182.91099999999997,105.274,183.328,263.428,184.96099999999998,211.33700000000002,184.32299999999998,134.493,104.853,252.794,117.065,228.977,114.90700000000001,210.139,115.04,192.132,120.296,139.285,120.34200000000001,127.117,119.728,59.917,119.251,46.437,119.639,97.22200000000001,109.228,213.75900000000001,106.779,109.381,112.166,135.97,111.523,189.93099999999998,110.37799999999999,251.71,129.903,230.68,128.579,204.174,129.583,186.975,128.805,,,69.8,135.75799999999998,97.76,133.635,104.095,124.499,72.457,124.583,204.82299999999998,123.04700000000001,122.43299999999999,123.277,259.455,125.83200000000001,246.578,124.229,135.90200000000002,143.554,86.751,137.505,240.84900000000002,136.179,115.679,136.25,232.49,135.04,105.20700000000001,139.334,222.69299999999998,138.89600000000002,249.25599999999997,138.47,89.919,148.082,233.335,152.529,196.40099999999998,149.283,139.215,148.484,119.977,150.207,97.492,156.381,86.977,158.238,265.861,153.602,93.74600000000001,149.08100000000002,,,,,,
3.75,15.0,,203.792,159.692,208.52700000000002,165.07299999999998,194.82,165.183,248.435,171.445,68.928,171.761,120.822,171.178,58.638000000000005,170.015,79.055,167.21900000000002,72.975,174.949,215.102,173.234,248.64,182.908,105.163,183.5,263.375,184.878,211.322,184.335,134.63299999999998,104.895,252.791,117.066,229.018,114.90100000000001,211.442,113.713,192.08700000000002,120.292,139.36700000000002,120.399,127.16,119.73700000000001,59.968999999999994,119.287,46.581,119.897,97.301,109.28299999999999,213.77599999999998,106.714,109.494,112.205,135.987,111.756,189.94299999999998,110.274,251.702,129.904,230.63,128.605,204.14,129.625,186.96900000000002,128.784,,,69.76899999999999,135.745,97.705,133.577,104.109,124.523,72.472,124.681,204.799,123.03399999999999,122.46,123.21,259.439,125.8,246.457,124.35,135.916,143.64700000000002,86.71,137.515,240.864,136.184,115.72399999999999,136.222,232.53,135.39700000000002,105.32799999999999,139.336,222.722,138.903,249.345,138.53799999999998,89.95100000000001,148.069,233.386,151.746,196.37,149.286,139.24200000000002,148.465,119.979,150.205,97.51899999999999,156.429,86.978,158.225,265.814,153.57,93.74700000000001,149.018,,,,,,
4.0,16.0,,203.796,159.595,208.485,165.07299999999998,194.803,165.019,248.415,171.449,68.98,171.747,120.765,171.206,58.662,170.05,79.063,167.236,72.958,174.938,215.042,173.176,248.632,182.84900000000002,105.171,183.4,263.4,184.817,211.342,184.352,134.648,104.833,252.78400000000002,117.05,229.055,114.883,210.243,114.85600000000001,192.05,120.27600000000001,139.33700000000002,120.436,127.169,119.721,60.298,118.665,46.416000000000004,119.395,97.215,109.26100000000001,213.84799999999998,106.67399999999999,109.304,111.95299999999999,135.988,111.684,189.87,110.228,251.707,129.888,230.688,128.664,204.09099999999998,129.668,186.988,128.793,,,69.748,135.673,97.74600000000001,133.589,104.14399999999999,124.5,72.505,124.589,204.739,123.02799999999999,122.44,123.175,259.445,125.805,246.642,124.34200000000001,135.91899999999998,143.656,86.63600000000001,137.503,240.851,136.183,115.755,136.18,232.513,135.211,105.355,139.362,222.80700000000002,138.945,249.282,138.62,89.861,148.06799999999998,233.283,151.914,196.312,149.305,139.224,148.47,119.99700000000001,150.171,97.491,156.468,86.95299999999999,158.186,265.82099999999997,153.54399999999998,94.023,148.976,,,,,,
4.25,17.0,,203.75099999999998,159.696,208.43,165.023,194.83900000000003,165.063,248.44299999999998,171.42700000000002,68.93,171.708,120.751,171.079,58.652,170.00799999999998,79.054,167.245,72.96300000000001,174.922,215.09599999999998,173.108,248.611,182.74099999999999,105.11399999999999,183.521,263.365,184.798,211.36900000000003,184.33900000000003,134.679,104.764,252.78799999999998,117.04,228.958,114.82700000000001,210.389,114.73100000000001,192.12,120.257,139.421,120.47399999999999,127.306,119.604,60.313,118.604,46.172,118.67200000000001,97.301,109.37100000000001,213.799,106.64299999999999,109.391,112.194,135.872,111.648,189.817,110.272,251.68400000000003,129.859,230.67700000000002,128.645,204.082,129.67,186.97,128.749,,,69.684,135.707,97.53,133.387,104.12899999999999,124.478,72.49,124.682,204.668,123.094,122.397,123.149,259.45099999999996,125.788,246.56799999999998,124.387,135.93200000000002,143.60399999999998,86.662,137.504,240.832,136.161,115.743,136.165,232.56599999999997,134.93200000000002,105.448,139.37,222.767,138.891,249.274,138.59799999999998,89.79,148.066,233.375,151.424,196.299,149.312,139.2,148.46,119.999,150.145,97.501,156.503,86.96799999999999,158.155,265.865,153.512,94.057,149.016,,,,,,
