TimesH,Frame,NoMissing,9,9,17,17,36,36,44,44,50,50,51,51,52,52,61,61,78,78,97,97,99,99,100,100,116,116,118,118,127,127,129,129,140,140,149,149,153,153,162,162,167,167,171,171,177,177,178,178,185,185,195,195,198,198,221,221,230,230,233,233,238,238,239,239,244,244,250,250,253,253,267,267,269,269,270,270,275,275,277,277,278,278,283,283,290,290,297,297,310,310,330,330,334,334,339,339,347,347,349,349,361,361,362,362,364,364,422,422,483,483,591,591,609,609,688,688,710,710,757,757,842,842,848,848,864,864,883,883
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
552.75,2211.0,,158.276,82.147,211.579,83.48,137.776,70.544,106.93799999999999,191.98,193.293,64.075,91.12,69.968,46.623000000000005,189.84,259.67,185.18900000000002,113.723,185.075,186.46200000000002,104.90700000000001,218.53599999999997,103.161,138.4,105.176,106.865,91.523,188.956,91.84200000000001,158.009,118.926,63.163999999999994,118.60700000000001,109.32799999999999,115.245,210.68200000000002,109.361,225.92700000000002,107.145,80.89699999999999,132.341,186.68099999999998,126.55799999999999,214.774,126.181,109.789,126.65799999999999,80.602,125.256,131.829,122.08200000000001,198.90200000000002,140.606,134.745,138.308,257.81,154.376,187.287,151.001,86.333,150.009,179.387,147.998,150.248,147.72799999999998,163.825,143.69299999999998,139.472,144.1,50.09,166.97,114.913,159.372,247.393,159.032,142.256,158.309,236.75,155.849,87.61,156.961,151.447,154.735,76.232,179.25799999999998,156.219,39.769,222.669,176.197,158.605,23.308000000000003,215.03,174.55599999999998,132.345,171.32299999999998,152.697,170.78900000000002,146.61700000000002,166.92700000000002,161.675,166.578,222.90400000000002,137.934,130.52200000000002,162.994,105.148,101.257,,,,,,,,,,,,,,,,,,,,,,
553.0,2212.0,,158.276,82.094,211.581,83.477,137.80200000000002,70.607,107.29299999999999,191.956,193.247,63.942,91.16,69.955,46.621,189.815,259.634,185.18,113.656,185.109,186.493,104.829,218.532,103.277,138.35399999999998,105.20700000000001,106.891,91.573,188.949,91.815,158.035,118.939,63.138999999999996,118.613,109.363,115.339,210.65599999999998,109.359,225.926,107.118,80.87,132.343,186.707,126.554,214.766,126.165,109.831,126.71799999999999,80.587,125.23,131.825,122.065,198.86,140.619,134.761,138.282,257.869,154.414,187.264,151.02100000000002,86.36,150.042,179.368,147.965,150.251,147.694,163.862,143.726,139.436,144.07299999999998,50.09,166.94299999999998,114.931,159.36,247.387,159.02700000000002,142.27700000000002,158.253,236.752,155.889,87.60700000000001,156.986,151.418,154.726,76.237,179.28900000000002,156.13299999999998,39.721,222.657,176.202,158.6,23.3,215.079,174.635,132.35399999999998,171.304,152.703,170.803,146.609,166.88400000000001,161.654,166.543,222.952,137.907,130.539,163.003,105.059,101.255,,,,,,,,,,,,,,,,,,,,,,
553.25,2213.0,,158.293,82.10600000000001,211.562,83.484,137.887,70.579,107.15299999999999,191.863,193.35299999999998,64.013,91.185,69.875,46.736000000000004,189.775,259.587,185.199,113.645,185.139,186.53,104.76100000000001,218.41299999999998,103.22399999999999,138.343,105.258,106.86200000000001,91.573,188.954,91.805,158.083,118.934,63.157,118.626,109.351,115.279,210.67700000000002,109.35700000000001,225.933,107.12700000000001,80.865,132.34799999999998,186.688,126.536,214.84900000000002,126.146,109.882,126.79700000000001,80.535,125.20299999999999,131.828,122.102,198.847,140.615,134.752,138.252,257.845,154.39700000000002,187.24400000000003,151.03799999999998,86.411,150.079,179.25599999999997,147.914,150.224,147.701,163.864,143.736,139.411,144.032,50.028,166.935,114.92299999999999,159.373,247.39,159.001,142.27200000000002,158.168,236.833,155.921,87.691,156.99,151.35299999999998,154.743,76.28399999999999,179.338,156.033,39.748000000000005,222.648,176.188,158.64,23.318,215.043,174.56099999999998,132.36,171.29,152.71,170.791,146.591,166.94299999999998,161.517,166.5,222.93099999999998,137.839,130.52,163.004,104.98100000000001,101.31,,,,,,,,,,,,,,,,,,,,,,
553.5,2214.0,,158.391,82.227,211.609,83.49700000000001,137.856,70.656,107.205,191.87900000000002,193.388,64.117,91.15299999999999,69.811,46.821000000000005,189.78599999999997,259.452,185.207,113.55799999999999,185.148,186.542,104.788,218.375,103.24700000000001,138.319,105.221,106.84100000000001,91.641,188.92700000000002,91.805,158.11,118.921,63.178000000000004,118.646,109.352,115.35600000000001,210.68,109.344,225.91299999999998,107.12299999999999,80.813,132.30700000000002,186.668,126.509,214.75900000000001,126.146,109.837,126.75,80.512,125.215,131.826,122.11200000000001,198.868,140.619,134.762,138.261,257.862,154.44799999999998,187.261,151.039,86.475,150.116,179.274,147.925,150.221,147.685,163.862,143.747,139.4,144.015,50.025,166.922,114.916,159.371,247.403,158.993,142.21200000000002,158.158,236.862,155.925,87.699,156.999,151.314,154.755,76.301,179.388,156.08100000000002,39.734,222.606,176.171,158.634,23.375999999999998,215.132,174.91400000000002,132.346,171.273,152.7,170.78,146.564,166.97099999999998,161.614,166.503,223.013,137.855,130.36,162.901,105.068,101.17399999999999,,,,,,,,,,,,,,,,,,,,,,
553.75,2215.0,,158.376,82.22,211.62400000000002,83.431,137.933,70.642,106.99600000000001,191.888,193.28400000000002,63.99,91.181,69.801,46.845,189.768,259.473,185.162,113.581,185.092,186.521,104.77,218.34799999999998,103.13,138.297,105.255,106.83,91.61399999999999,188.905,91.806,158.13,118.91799999999999,63.18899999999999,118.646,109.351,115.47200000000001,210.675,109.331,225.938,107.12,80.768,132.279,186.643,126.45200000000001,214.738,126.163,109.83200000000001,126.745,80.538,125.20700000000001,131.82299999999998,122.09899999999999,198.861,140.637,134.749,138.261,257.872,154.42700000000002,187.248,151.041,86.48299999999999,150.129,179.285,147.922,150.203,147.658,163.86700000000002,143.664,139.39,144.031,50.018,166.926,114.919,159.372,247.393,159.00799999999998,142.161,158.279,236.891,155.91,87.715,156.97799999999998,151.293,154.803,76.26899999999999,179.407,156.127,39.846,222.56400000000002,176.15,158.622,23.4,215.104,174.852,132.283,171.27200000000002,152.694,170.764,146.524,166.98,161.584,166.533,222.945,137.793,130.364,162.934,105.148,101.119,,,,,,,,,,,,,,,,,,,,,,
554.0,2216.0,,158.41,82.24,211.612,83.46,137.914,70.66,107.08,191.96099999999998,193.30700000000002,64.115,91.205,69.77600000000001,47.113,189.743,259.47900000000004,185.179,113.626,185.13400000000001,186.56099999999998,104.774,218.356,103.235,138.315,105.225,106.822,91.59899999999999,188.903,91.821,158.13299999999998,118.90299999999999,63.213,118.662,109.384,115.416,210.704,109.335,225.955,107.12100000000001,80.748,132.269,186.58,126.432,214.736,126.14200000000001,109.811,126.744,80.492,125.229,131.842,122.13,198.862,140.658,134.744,138.284,257.877,154.44799999999998,187.264,151.05100000000002,86.49600000000001,150.22899999999998,179.168,147.835,150.188,147.639,163.86700000000002,143.707,139.399,144.012,49.993,166.952,114.91799999999999,159.36700000000002,247.405,158.969,142.13,158.411,236.864,155.946,87.766,156.94899999999998,151.283,154.838,76.294,179.417,156.115,39.715,222.6,176.17700000000002,158.661,23.349,215.144,174.91,132.27200000000002,171.25900000000001,152.714,170.785,146.509,166.96599999999998,161.57,166.514,222.98,137.82299999999998,130.488,163.085,105.27,101.06700000000001,,,,,,,,,,,,,,,,,,,,,,
554.25,2217.0,,158.332,82.145,211.638,83.45299999999999,137.865,70.642,106.81,192.047,193.291,63.998000000000005,91.21600000000001,69.792,46.993,189.799,259.503,185.166,113.633,185.146,186.575,104.76299999999999,218.27900000000002,103.234,138.305,105.288,106.837,91.624,188.888,91.846,158.154,118.929,63.22,118.661,109.38799999999999,115.413,210.738,109.334,225.959,107.12,80.702,132.264,186.543,126.40799999999999,214.733,126.15700000000001,109.833,126.745,80.444,125.245,131.838,122.14299999999999,198.854,140.691,134.752,138.3,257.931,154.507,187.225,151.095,86.50200000000001,150.235,179.188,147.821,150.165,147.599,163.868,143.62,139.40200000000002,144.017,49.983000000000004,166.933,114.91799999999999,159.369,247.428,158.92,142.16,158.33,236.88400000000001,155.908,87.756,156.986,151.284,154.80700000000002,76.327,179.46099999999998,156.094,39.749,222.657,176.188,158.691,23.316999999999997,215.11,174.982,132.265,171.24900000000002,152.734,170.787,146.49,167.058,161.563,166.47,222.94799999999998,137.85399999999998,130.582,163.179,105.137,101.15299999999999,,,,,,,,,,,,,,,,,,,,,,
554.5,2218.0,,158.279,82.09,211.583,83.48700000000001,137.895,70.64699999999999,106.927,191.968,193.27700000000002,64.09899999999999,91.21600000000001,69.775,46.82899999999999,189.81900000000002,259.362,185.236,113.70100000000001,185.16299999999998,186.55200000000002,104.706,218.327,103.21700000000001,138.304,105.271,106.845,91.587,188.889,91.861,158.17700000000002,118.949,63.228,118.665,109.384,115.455,210.737,109.318,225.96400000000003,107.10600000000001,80.694,132.264,186.52,126.34899999999999,214.704,126.13799999999999,109.87200000000001,126.83,80.437,125.236,131.836,122.12299999999999,198.85299999999998,140.709,134.82299999999998,138.27,257.856,154.429,187.22,151.097,86.58,150.25,179.15099999999998,147.817,150.159,147.586,163.786,143.636,139.384,144.037,50.012,166.90200000000002,114.915,159.351,247.465,158.90200000000002,142.156,158.257,236.921,155.974,87.744,156.994,151.317,154.845,76.33800000000001,179.47799999999998,156.041,39.62,222.63400000000001,176.206,158.726,23.266,215.125,175.003,132.253,171.235,152.72299999999998,170.80599999999998,146.525,166.97,161.531,166.407,222.96099999999998,137.849,130.64,163.18200000000002,105.413,101.147,89.50200000000001,92.35600000000001,,,,,,,,,,,,,,,,,,,,
554.75,2219.0,,158.285,82.04799999999999,211.515,83.507,137.876,70.65,106.984,191.851,193.21599999999998,63.917,91.221,69.768,46.836000000000006,189.771,259.313,185.24599999999998,113.70200000000001,185.17,186.565,104.727,218.275,103.146,138.281,105.286,106.885,91.56700000000001,188.859,91.838,158.143,118.89200000000001,63.23,118.679,109.40799999999999,115.444,210.769,109.31,225.946,107.09299999999999,80.594,132.27200000000002,186.49400000000003,126.29899999999999,214.68599999999998,126.161,109.742,126.756,80.388,125.21600000000001,131.858,122.125,198.791,140.738,134.917,138.29,257.822,154.412,187.225,151.05200000000002,86.59899999999999,150.285,179.236,147.88299999999998,150.138,147.575,163.679,143.665,139.404,144.05200000000002,50.058,166.94299999999998,114.913,159.346,247.463,158.904,142.205,158.215,236.949,155.975,87.765,156.989,151.315,154.82299999999998,76.306,179.50799999999998,156.048,39.359,222.657,176.15900000000002,158.716,23.237,215.111,175.097,132.251,171.23,152.718,170.793,146.52200000000002,166.942,161.52,166.382,223.03400000000002,137.785,130.638,163.15200000000002,105.62700000000001,101.12,89.45100000000001,92.5,,,,,,,,,,,,,,,,,,,,
555.0,2220.0,,158.248,81.988,211.49900000000002,83.634,137.845,70.568,107.15,191.83599999999998,193.153,63.943999999999996,91.27799999999999,69.819,46.79,189.708,259.242,185.27200000000002,113.76899999999999,185.237,186.58700000000002,104.714,218.18200000000002,103.086,138.268,105.28399999999999,106.89299999999999,91.535,188.865,91.85799999999999,158.101,118.882,63.218,118.777,109.446,115.507,210.778,109.29899999999999,225.94400000000002,107.094,80.49600000000001,132.247,186.511,126.315,214.6,126.198,109.75399999999999,126.695,80.348,125.20200000000001,131.855,122.131,198.77,140.763,134.873,138.274,257.788,154.355,187.257,151.05100000000002,86.684,150.303,179.327,148.036,150.162,147.566,163.718,143.643,139.388,144.031,50.041000000000004,166.99400000000003,114.917,159.349,247.495,159.018,142.109,158.25799999999998,236.96900000000002,155.966,87.819,156.96200000000002,151.364,154.792,76.337,179.465,155.969,39.595,222.632,176.174,158.731,23.265,215.067,175.037,132.241,171.215,152.709,170.80200000000002,146.51,166.882,161.5,166.40099999999998,222.868,137.825,130.714,163.188,105.79700000000001,100.95700000000001,89.436,92.499,,,,,,,,,,,,,,,,,,,,
