TimesH,Frame,NoMissing,4,4,6,6,16,16,17,17,65,65,78,78,101,101,114,114,122,122,125,125,130,130,131,131,132,132,137,137,143,143,144,144,145,145,151,151,158,158,160,160,163,163,178,178,199,199,207,207,209,209,217,217,218,218,226,226,236,236,239,239,245,245,250,250,259,259,277,277,278,278,281,281,292,292,300,300,304,304,306,306,315,315,394,394,536,536,598,598
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
388.5,1554.0,,121.634,53.068000000000005,128.02200000000002,54.038000000000004,178.94299999999998,63.012,170.325,64.76899999999999,188.808,92.988,164.99400000000003,92.156,93.137,76.75,204.97,84.352,159.058,82.23200000000001,168.28900000000002,121.064,160.352,124.04799999999999,205.62599999999998,124.15100000000001,124.179,116.74799999999999,90.54,117.626,126.426,127.485,186.766,127.81200000000001,234.75900000000001,131.096,80.327,126.404,226.416,107.913,211.079,109.064,195.16,104.23100000000001,110.865,116.919,150.52,147.836,90.29,157.6,192.013,157.615,257.92900000000003,154.313,67.68,135.27,91.352,132.957,217.05200000000002,144.20600000000002,120.581,145.07399999999998,94.156,140.575,107.428,174.997,133.35,172.342,92.72200000000001,179.61900000000003,233.27900000000002,179.31799999999998,196.584,162.541,115.677,159.744,112.336,167.90900000000002,100.167,164.179,145.959,165.828,47.708999999999996,191.675,253.512,141.59799999999998,,,,
388.75,1555.0,,121.666,53.041000000000004,128.005,54.077,178.988,62.997,170.27700000000002,64.72,188.84099999999998,93.001,165.062,92.242,93.145,76.668,204.99200000000002,84.249,159.059,82.191,168.327,121.126,160.362,124.027,205.65200000000002,123.98100000000001,124.11,116.766,90.476,117.632,126.44,127.485,186.735,127.57,234.71200000000002,131.06799999999998,80.369,126.425,226.36700000000002,107.869,211.06,109.045,195.209,104.219,110.804,116.887,150.57,147.814,90.315,157.498,191.94099999999997,157.558,257.91200000000003,154.382,67.66199999999999,135.282,91.35,133.005,217.019,144.247,120.585,145.094,94.12299999999999,140.571,107.37,174.988,133.335,172.356,92.725,179.565,233.283,179.267,196.665,162.49,115.655,159.748,112.384,167.935,100.15700000000001,164.162,145.947,165.798,47.73,191.672,253.543,141.602,,,,
389.0,1556.0,,121.686,53.052,127.96799999999999,54.003,178.99599999999998,62.967,170.257,64.71300000000001,188.842,93.045,165.021,92.257,93.11200000000001,76.71600000000001,204.995,84.152,159.034,82.074,168.358,121.12799999999999,160.345,124.025,205.68099999999998,123.976,124.12700000000001,116.801,90.522,117.65299999999999,126.43700000000001,127.48,186.72799999999998,127.561,234.66,130.936,80.419,126.387,226.331,107.781,210.993,109.022,195.171,104.256,110.77799999999999,116.85799999999999,150.611,147.814,90.319,157.526,192.002,157.59799999999998,257.914,154.30700000000002,67.667,135.32,91.32799999999999,133.059,216.933,144.173,120.514,145.07,94.09899999999999,140.591,107.319,174.96,133.347,172.343,92.711,179.419,233.27599999999998,179.294,196.68,162.474,115.665,159.726,112.43799999999999,168.012,100.15,164.174,145.993,165.795,47.728,191.56599999999997,253.498,141.556,,,,
389.25,1557.0,,121.72399999999999,53.034,127.944,53.986999999999995,178.983,62.983000000000004,170.255,64.715,188.845,93.035,165.025,92.257,93.14,76.68,204.987,84.20700000000001,159.102,82.04299999999999,168.377,121.19,160.368,123.875,205.696,123.884,124.1,116.795,90.545,117.61,126.39299999999999,127.462,186.755,127.664,234.53099999999998,130.80700000000002,80.36,126.33200000000001,226.317,107.76700000000001,210.99599999999998,109.012,195.14700000000002,104.27,110.728,116.829,150.60399999999998,147.70600000000002,90.335,157.541,191.965,157.571,257.884,154.325,67.638,135.342,91.335,133.02,216.9,144.113,120.449,145.072,94.07,140.601,107.32600000000001,174.93400000000003,133.345,172.37900000000002,92.63,179.312,233.26,179.354,196.701,162.429,115.689,159.70600000000002,112.428,168.065,100.139,164.175,145.97299999999998,165.764,47.648,191.547,253.243,141.32,,,,
389.5,1558.0,,121.73899999999999,53.032,127.917,54.078,179.014,62.974,170.283,64.62100000000001,188.872,93.148,165.03799999999998,92.28,93.167,76.61,204.96200000000002,84.221,159.024,82.014,168.38400000000001,121.14299999999999,160.306,123.759,205.697,123.84299999999999,124.141,116.755,90.57600000000001,117.603,126.40100000000001,127.43299999999999,186.761,127.756,234.601,130.871,80.372,126.259,226.308,107.77799999999999,211.00099999999998,108.98299999999999,195.107,104.294,110.65100000000001,116.792,150.608,147.575,90.29799999999999,157.511,191.905,157.562,257.858,154.262,67.59899999999999,135.378,91.31200000000001,133.019,216.892,144.131,120.45299999999999,145.019,94.052,140.608,107.329,174.951,133.358,172.393,92.61399999999999,179.329,233.22099999999998,179.30200000000002,196.699,162.315,115.694,159.695,112.4,167.86599999999999,100.12100000000001,164.14700000000002,145.871,165.701,47.464,191.554,253.25400000000002,141.245,,,,
389.75,1559.0,,121.75,53.034,127.91,54.037,179.021,63.032,170.225,64.587,188.888,93.134,164.99900000000002,92.24600000000001,93.13799999999999,76.575,204.96099999999998,84.182,158.97899999999998,82.06299999999999,168.423,121.09899999999999,160.299,123.801,205.68599999999998,123.83,124.105,116.77,90.662,117.663,126.405,127.45200000000001,186.71400000000003,127.67200000000001,234.593,130.768,80.363,126.23200000000001,226.253,107.679,211.00599999999997,108.98299999999999,195.111,104.292,110.60700000000001,116.756,150.599,147.596,90.37899999999999,157.52,191.94299999999998,157.547,257.918,154.445,67.543,135.393,91.34700000000001,133.033,216.80900000000003,144.023,120.405,144.906,94.02600000000001,140.615,107.37,174.952,133.375,172.412,92.604,179.331,233.24,179.25599999999997,196.678,162.416,115.678,159.691,112.354,167.92,100.104,164.106,145.82399999999998,165.667,47.593999999999994,191.482,253.282,141.222,,,,
390.0,1560.0,,121.682,53.053000000000004,127.891,54.038999999999994,179.03099999999998,63.044,170.296,64.541,188.835,93.13600000000001,164.984,92.225,93.12100000000001,76.518,204.92700000000002,84.23700000000001,158.997,82.038,168.487,121.15799999999999,160.262,123.72200000000001,205.7,123.774,124.12200000000001,116.792,90.846,117.666,126.369,127.46700000000001,186.702,127.706,234.607,130.875,80.40100000000001,126.249,226.28799999999998,107.693,210.99900000000002,108.98,195.203,104.182,110.579,116.76100000000001,150.616,147.667,90.444,157.537,191.90400000000002,157.53,257.935,154.57,67.517,135.416,91.38600000000001,133.02100000000002,216.821,144.02,120.42299999999999,144.90200000000002,94.008,140.61,107.334,174.935,133.417,172.447,92.584,179.327,233.24900000000002,179.21,196.636,162.46,115.66,159.683,112.27,167.882,100.11200000000001,164.083,145.917,165.732,47.647,191.546,253.38099999999997,141.132,,,,
390.25,1561.0,,121.649,53.059,127.85,53.943999999999996,179.003,63.008,170.25799999999998,64.449,188.864,93.064,164.99200000000002,92.344,93.15,76.559,204.912,84.277,158.993,82.11,168.546,121.243,160.241,123.715,205.72299999999998,123.714,124.10799999999999,116.801,90.86399999999999,117.661,126.344,127.491,186.705,127.70200000000001,234.597,130.783,80.312,126.16799999999999,226.36599999999999,107.76299999999999,211.03799999999998,108.969,195.19799999999998,104.18,110.6,116.809,150.61,147.67,90.387,157.599,191.921,157.515,257.889,154.632,67.47800000000001,135.41,91.366,133.02200000000002,216.68099999999998,143.84,120.412,144.916,93.976,140.664,107.25,174.972,133.423,172.445,92.523,179.36700000000002,233.24200000000002,179.18200000000002,196.648,162.407,115.618,159.678,112.258,167.933,100.12899999999999,164.15599999999998,145.849,165.745,47.656000000000006,191.481,253.333,141.111,,,,
390.5,1562.0,,121.62200000000001,53.027,127.853,53.93899999999999,178.975,63.005,170.321,64.431,188.92,93.038,165.05599999999998,92.369,93.15299999999999,76.611,204.938,84.28399999999999,159.037,82.13,168.56400000000002,121.212,160.255,123.73899999999999,205.748,123.691,124.096,116.829,90.927,117.65,126.331,127.495,186.683,127.60799999999999,234.507,130.612,80.33,126.181,226.358,107.751,211.062,108.971,195.237,104.146,110.58,116.786,150.645,147.703,90.42299999999999,157.667,191.857,157.50799999999998,257.878,154.697,67.509,135.40200000000002,91.35,133.036,216.3,143.362,120.49600000000001,144.862,94.00399999999999,140.63,107.221,174.96099999999998,133.424,172.459,92.54299999999999,179.362,233.243,179.197,196.657,162.406,115.62200000000001,159.679,112.258,167.985,100.141,164.17700000000002,145.99200000000002,165.766,47.691,191.595,253.405,141.023,,,,
390.75,1563.0,,121.60799999999999,53.013999999999996,127.73299999999999,53.895,178.99099999999999,63.047,170.33900000000003,64.425,188.95,93.00399999999999,165.09099999999998,92.31299999999999,93.12700000000001,76.609,204.93400000000003,84.304,159.063,82.102,168.53400000000002,121.12100000000001,160.237,123.67399999999999,205.75599999999997,123.681,124.087,116.822,90.934,117.729,126.34100000000001,127.512,186.674,127.587,234.49900000000002,130.674,80.382,126.176,226.355,107.699,211.043,108.95700000000001,195.239,104.146,110.616,116.78200000000001,150.651,147.64600000000002,90.44200000000001,157.61,191.872,157.501,257.855,154.705,67.465,135.385,91.353,133.04,216.257,143.321,120.536,144.864,94.012,140.658,107.22200000000001,174.99200000000002,133.422,172.47299999999998,92.557,179.393,233.247,179.169,196.68900000000002,162.391,115.632,159.679,112.29299999999999,168.085,100.131,164.13299999999998,145.982,165.792,47.836000000000006,191.618,253.53900000000002,141.217,,,,
