TimesH,Frame,NoMissing,4,4,18,18,99,99,100,100,103,103,106,106,122,122,134,134,137,137,138,138,139,139,150,150,152,152,159,159,161,161,163,163,166,166,170,170,175,175,177,177,185,185,187,187,192,192,195,195,207,207,239,239,242,242,253,253,263,263,268,268,269,269,279,279,280,280,282,282,291,291,688,688,773,773,871,871,972,972,1189,1189,1291,1291,1655,1655,1656,1656,1832,1832,2096,2096
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
340.25,1361.0,,215.835,58.597,191.69,51.055,131.481,130.852,161.469,130.599,139.235,129.071,245.804,116.13600000000001,76.857,109.52,216.375,109.527,199.826,102.646,275.645,102.98700000000001,129.015,100.083,186.945,94.811,212.25,95.346,116.811,97.92200000000001,75.544,98.53299999999999,90.171,97.335,248.93599999999998,86.59100000000001,110.225,84.63,84.163,92.194,110.164,91.74600000000001,171.12,81.625,108.728,79.369,88.045,84.31,182.393,83.094,257.957,77.671,112.111,161.814,86.835,158.118,42.75,152.565,73.03,153.525,281.686,145.17600000000002,121.712,145.974,212.46599999999998,146.191,238.275,145.666,53.75,147.02200000000002,42.045,137.29399999999998,,,,,,,,,,,,,,,,,,,,
340.5,1362.0,,215.812,58.582,191.69299999999998,51.055,131.474,130.733,161.469,130.602,139.188,129.071,245.812,116.15100000000001,76.806,109.484,216.005,109.557,199.828,102.65299999999999,275.634,103.01,129.0,100.1,186.95,94.821,212.21400000000003,95.318,116.78200000000001,97.93799999999999,75.536,98.538,90.213,97.333,248.90200000000002,86.54799999999999,110.242,84.603,84.178,92.18700000000001,110.228,91.699,171.132,81.663,108.74799999999999,79.29899999999999,88.014,84.305,182.372,83.103,257.999,77.616,112.096,161.868,86.804,158.106,42.751999999999995,152.559,73.043,153.54,281.66700000000003,145.158,121.713,145.989,212.472,146.184,238.28400000000002,145.645,53.739,147.028,42.056999999999995,137.305,,,,,,,,,,,,,,,,,,,,
340.75,1363.0,,215.795,58.589,191.69,51.048,131.509,130.78,161.471,130.56799999999998,139.232,129.108,245.77700000000002,116.197,76.821,109.46,216.35299999999998,109.531,199.82,102.65700000000001,275.623,103.012,129.056,100.04899999999999,186.98,94.75200000000001,212.185,95.28200000000001,116.802,97.936,75.581,98.554,90.234,97.259,248.90099999999998,86.554,110.189,84.633,84.18700000000001,92.193,110.139,91.75,171.135,81.686,108.72,79.27,88.01899999999999,84.304,182.398,83.071,258.04400000000004,77.592,112.081,161.861,86.8,158.092,42.78,152.55700000000002,73.03,153.594,281.688,145.14700000000002,121.682,145.977,212.476,146.18,238.30700000000002,145.64700000000002,53.722,147.026,42.051,137.30200000000002,,,,,,,,,,,,,,,,,,,,
341.0,1364.0,,215.78900000000002,58.576,191.68099999999998,51.045,131.497,130.688,161.485,130.583,139.252,129.062,245.74599999999998,116.213,76.76899999999999,109.40799999999999,216.208,109.58200000000001,199.827,102.64399999999999,275.601,103.00299999999999,129.063,100.025,186.977,94.777,212.179,95.318,116.83,97.945,75.592,98.556,90.23,97.24799999999999,248.861,86.546,110.198,84.62,84.208,92.17,110.134,91.75399999999999,171.111,81.67399999999999,108.76,79.277,87.993,84.274,182.382,83.104,258.026,77.571,112.069,161.87,86.79,158.08100000000002,42.776,152.571,72.936,153.49200000000002,281.676,145.127,121.65799999999999,145.94899999999998,212.468,146.174,238.3,145.674,53.708999999999996,147.053,42.053999999999995,137.292,,,,,,,,,,,,,,,,,,,,
341.25,1365.0,,215.775,58.615,191.65599999999998,51.033,131.494,130.696,161.455,130.592,139.282,129.134,245.785,116.23899999999999,76.765,109.40899999999999,216.329,109.579,199.828,102.649,275.596,103.00399999999999,129.047,100.04799999999999,186.977,94.743,212.107,95.301,116.853,97.939,75.57600000000001,98.552,90.23200000000001,97.243,248.912,86.57700000000001,110.227,84.613,84.205,92.164,110.03200000000001,91.77,171.127,81.71,108.811,79.307,87.976,84.304,182.403,83.087,258.093,77.523,112.084,161.905,86.835,158.11,42.793,152.561,72.921,153.524,281.654,145.069,121.609,145.94299999999998,212.49400000000003,146.189,238.298,145.66899999999998,53.707,147.036,42.068999999999996,137.297,,,,,,,,,,,,,,,,,,,,
341.5,1366.0,,215.77900000000002,58.623999999999995,191.649,51.022,131.466,130.694,161.455,130.595,139.246,129.145,245.828,116.27,76.709,109.47200000000001,216.38,109.55799999999999,199.824,102.634,275.589,103.015,129.016,100.103,186.96900000000002,94.78299999999999,212.083,95.31200000000001,116.861,97.93299999999999,75.616,98.565,90.322,97.20200000000001,248.84799999999998,86.566,110.209,84.67,84.21799999999999,92.155,109.905,91.791,171.148,81.79,108.819,79.275,88.045,84.351,182.39700000000002,83.10700000000001,258.199,77.509,112.07700000000001,161.891,86.777,158.11,42.803000000000004,152.561,72.855,153.454,281.649,145.09799999999998,121.60799999999999,145.947,212.49900000000002,146.21,238.335,145.615,53.73,147.019,42.06,137.298,,,,,,,,,,,,,,,,,,,,
341.75,1367.0,,215.822,58.631,191.635,51.008,131.46,130.726,161.44,130.564,139.191,129.082,245.832,116.244,76.712,109.484,216.65,109.624,199.83599999999998,102.619,275.57099999999997,103.038,129.049,100.064,187.017,94.69,212.079,95.211,116.84100000000001,97.948,75.6,98.54899999999999,90.396,97.197,248.851,86.632,110.197,84.691,84.198,92.15299999999999,109.81700000000001,91.831,171.178,81.828,108.81,79.37,88.01799999999999,84.32799999999999,182.36700000000002,83.094,258.144,77.543,112.069,161.914,86.774,158.106,42.805,152.558,72.914,153.585,281.70099999999996,145.076,121.61399999999999,145.95,212.498,146.164,238.31599999999997,145.59799999999998,53.757,146.99,42.106,137.32299999999998,,,,,,,,,,,,,,,,,,,,
342.0,1368.0,,215.821,58.626999999999995,191.628,51.013000000000005,131.499,130.636,161.43,130.597,139.219,129.05200000000002,245.838,116.191,76.741,109.46600000000001,216.46900000000002,109.57,199.83700000000002,102.61399999999999,275.547,103.053,129.122,99.99600000000001,187.05200000000002,94.684,212.149,95.07600000000001,116.84299999999999,97.93799999999999,75.578,98.541,90.43299999999999,97.18299999999999,248.86,86.603,110.236,84.65899999999999,84.21799999999999,92.16799999999999,109.649,91.875,171.16400000000002,81.828,108.791,79.271,88.056,84.37100000000001,182.389,83.08,258.361,77.42,112.05799999999999,161.981,86.79,158.109,42.773,152.545,72.893,153.722,281.655,145.023,121.654,145.955,212.485,146.16299999999998,238.315,145.611,53.721000000000004,147.007,42.108999999999995,137.308,,,,,,,,,,,,,,,,,,,,
342.25,1369.0,,215.81799999999998,58.647,191.612,51.016999999999996,131.491,130.629,161.444,130.55700000000002,139.207,129.019,245.821,116.162,76.78399999999999,109.514,216.646,109.613,199.824,102.611,275.532,103.07,129.225,99.852,187.02,94.72399999999999,212.132,95.029,116.87100000000001,97.95200000000001,75.558,98.531,90.45299999999999,97.15700000000001,248.851,86.62700000000001,110.264,84.72399999999999,84.23899999999999,92.164,109.667,91.87100000000001,171.15599999999998,81.836,108.777,79.22800000000001,88.045,84.412,182.419,83.09100000000001,258.376,77.36,112.084,161.981,86.803,158.085,42.787,152.554,72.919,153.58,281.63599999999997,145.023,121.631,145.94899999999998,212.49099999999999,146.17,238.28799999999998,145.61700000000002,53.699,147.007,42.108999999999995,137.342,,,,,,,,,,,,,,,,,,,,
342.5,1370.0,,215.88099999999997,58.668,191.612,51.005,131.53799999999998,130.55,161.447,130.534,139.19899999999998,129.013,245.817,116.179,76.771,109.53,216.768,109.566,199.84,102.604,275.545,103.095,129.156,99.935,187.02,94.72,212.11,94.97200000000001,116.897,97.941,75.546,98.521,90.427,97.17399999999999,248.825,86.619,110.249,84.803,84.243,92.14399999999999,109.669,91.87700000000001,171.155,81.834,108.766,79.21,88.046,84.42,182.389,83.11399999999999,258.39,77.365,112.036,161.963,86.73899999999999,158.05100000000002,42.809,152.565,72.89699999999999,153.481,281.64799999999997,145.019,121.601,145.94299999999998,212.49599999999998,146.179,238.255,145.611,53.636,147.023,42.1,137.322,,,,,,,,,,,,,,,,,,,,
