TimesH,Frame,NoMissing,7,7,13,13,22,22,32,32,36,36,46,46,50,50,60,60,63,63,78,78,105,105,131,131,219,219,238,238,260,260,266,266,291,291,298,298,305,305,311,311,312,312,317,317,321,321,330,330,335,335,342,342,343,343,344,344,348,348,354,354,356,356,529,529,612,612,627,627,649,649,855,855,867,867,885,885,895,895,933,933,956,956,968,968,981,981,986,986
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
168.75,675.0,,125.06700000000001,95.177,82.818,97.465,95.92399999999999,100.686,119.25,104.904,53.32,108.772,204.196,113.139,109.262,114.096,73.919,120.064,282.17,120.28,204.15599999999998,127.28399999999999,52.727,137.92,270.002,148.405,84.95100000000001,15.36,209.167,27.99,147.433,39.575,218.43599999999998,41.657,191.833,53.876999999999995,115.98299999999999,61.611000000000004,245.68599999999998,62.826,185.40099999999998,66.133,209.505,66.068,234.886,69.079,111.376,69.861,74.342,74.535,136.171,76.042,143.516,80.419,184.49900000000002,80.436,223.533,81.41199999999999,86.259,84.76799999999999,242.747,85.459,104.166,86.28299999999999,,,,,,,,,,,,,,,,,,,,,,,,,,
169.0,676.0,,124.971,95.088,82.84100000000001,97.37700000000001,96.057,100.745,119.21600000000001,104.836,53.391999999999996,108.785,204.25799999999998,113.149,109.295,114.104,73.887,120.053,282.207,120.215,204.085,127.198,52.685,137.936,269.999,148.355,84.89299999999999,15.385,209.15599999999998,27.979,147.247,39.503,218.495,41.711000000000006,191.852,53.96,116.03299999999999,61.568999999999996,245.743,62.842,185.347,66.586,209.50400000000002,66.092,234.888,69.07600000000001,111.455,69.795,74.15899999999999,74.13600000000001,136.191,76.059,143.53799999999998,80.408,184.551,80.484,223.50900000000001,81.488,86.249,84.80799999999999,242.73,85.478,104.26899999999999,86.385,,,,,,,,,,,,,,,,,,,,,,,,,,
169.25,677.0,,125.289,94.887,82.809,97.384,96.069,100.729,119.178,104.76899999999999,53.403,108.805,204.03400000000002,113.04799999999999,109.286,114.16799999999999,73.896,120.044,282.061,120.227,204.012,128.157,52.735,137.881,269.972,148.362,84.913,15.342,209.17700000000002,27.955,147.23,39.422,218.541,41.757,191.863,53.931000000000004,116.06200000000001,61.622,245.72099999999998,62.826,185.55599999999998,66.268,209.548,66.115,234.852,69.09899999999999,111.463,69.893,74.187,74.195,136.217,76.001,143.489,80.432,184.731,80.583,223.553,81.39399999999999,86.39399999999999,84.887,242.732,85.454,104.40100000000001,86.556,,,,,,,,,,,,,,,,,,,,,,,,,,
169.5,678.0,,124.806,94.81200000000001,82.807,97.432,96.055,100.74600000000001,119.185,104.948,53.435,108.8,204.18599999999998,113.066,109.26799999999999,114.169,73.892,120.15299999999999,282.056,120.236,204.02700000000002,128.602,52.651,137.88,269.901,148.52,84.991,15.366,209.15900000000002,27.94,147.416,39.215,218.56900000000002,41.782,191.821,53.922,116.03299999999999,61.657,245.74200000000002,62.771,185.72400000000002,65.95100000000001,209.53900000000002,66.193,234.87099999999998,69.063,111.465,69.865,74.23899999999999,74.202,136.262,75.87899999999999,143.553,80.38,184.547,80.626,223.567,81.404,86.258,84.90799999999999,242.722,85.417,104.368,86.464,,,,,,,,,,,,,,,,,,,,,,,,,,
169.75,679.0,,125.01299999999999,95.03299999999999,82.934,97.45,96.23299999999999,100.70200000000001,119.167,104.818,53.416000000000004,108.76,204.12599999999998,113.071,109.25399999999999,114.17299999999999,73.916,120.10600000000001,282.066,120.228,204.03900000000002,128.751,52.736999999999995,137.915,269.91,148.49,84.985,15.335,209.179,27.973000000000003,147.39,39.128,218.82299999999998,41.818999999999996,191.762,53.88399999999999,115.96600000000001,61.551,245.808,62.711999999999996,185.62900000000002,65.888,209.459,66.27600000000001,234.87599999999998,69.06,111.50200000000001,69.842,73.92399999999999,73.745,136.314,75.99,143.608,80.437,184.709,80.579,223.548,81.36399999999999,86.485,85.009,242.729,85.411,104.42299999999999,86.436,,,,,,,,,,,,,,,,,,,,,,,,,,
170.0,680.0,,124.762,95.07799999999999,82.87899999999999,97.478,96.28200000000001,100.79299999999999,119.141,104.927,53.333,108.785,204.118,113.109,109.177,114.182,73.92699999999999,120.071,282.074,120.18299999999999,204.12599999999998,129.452,52.81,137.928,269.911,148.549,84.995,15.380999999999998,209.202,27.968000000000004,147.312,39.132,218.745,41.799,191.74900000000002,53.888000000000005,116.10700000000001,61.527,245.766,62.79600000000001,185.575,66.057,209.555,66.279,234.887,69.051,111.557,69.681,73.407,72.988,136.329,76.055,143.798,80.467,184.74,80.61399999999999,223.53099999999998,81.325,86.544,85.01799999999999,242.703,85.43,104.48299999999999,86.495,,,,,,,,,,,,,,,,,,,,,,,,,,
170.25,681.0,,124.40799999999999,94.835,82.947,97.57,96.294,100.743,119.165,104.985,53.425,108.869,204.058,113.17399999999999,109.184,114.17,73.89399999999999,120.08200000000001,282.04200000000003,120.14200000000001,204.041,128.83,52.736000000000004,137.914,269.942,148.55,84.995,15.411,209.178,27.984,147.247,39.259,218.59099999999998,41.76,191.769,53.981,116.057,61.58,245.687,62.883,185.405,66.271,209.546,66.296,234.863,69.027,111.542,69.741,73.79,73.671,136.38,76.001,143.584,80.376,184.74400000000003,80.632,223.458,81.449,86.684,85.06299999999999,242.687,85.40799999999999,104.34,86.321,,,,,,,,,,,,,,,,,,,,,,,,,,
170.5,682.0,,124.711,94.99700000000001,83.037,97.583,96.37700000000001,100.626,119.182,104.88600000000001,53.418,108.825,204.081,113.209,109.178,114.155,73.881,120.07700000000001,282.079,120.10600000000001,203.91299999999998,128.49,52.894,137.808,269.945,148.543,84.944,15.465,209.17,27.963,146.906,39.334,218.65400000000002,41.777,191.81,53.982,116.12700000000001,61.59,245.702,62.937,185.42,66.32,209.554,66.27600000000001,234.812,69.029,111.65899999999999,69.794,73.415,72.915,136.418,75.882,143.55100000000002,80.336,184.87099999999998,80.594,223.53900000000002,81.307,86.62100000000001,85.154,242.68400000000003,85.415,104.22399999999999,86.318,,,,,,,,,,,,,,,,,,,,,,,,,,
170.75,683.0,,124.641,94.863,82.96,97.564,96.461,100.415,119.196,104.84,53.4,108.89,204.11700000000002,113.20200000000001,109.181,114.139,73.859,120.04799999999999,282.065,120.113,203.81900000000002,128.398,52.861999999999995,137.768,269.95599999999996,148.517,85.01700000000001,15.534,209.15099999999998,27.96,146.953,39.336999999999996,218.68,41.75,191.764,53.956,116.197,61.578,245.64700000000002,63.025,185.39,66.22800000000001,209.548,66.29,234.83,69.046,111.675,69.751,73.976,73.884,136.416,75.833,143.629,80.486,184.983,80.57600000000001,223.49200000000002,81.331,86.585,85.175,242.718,85.405,104.197,86.29700000000001,,,,,,,,,,,,,,,,,,,,,,,,,,
171.0,684.0,,124.76799999999999,95.05799999999999,82.939,97.50399999999999,96.296,100.57700000000001,119.189,104.905,53.397,108.803,204.174,113.208,109.193,114.145,73.84100000000001,120.025,282.08299999999997,120.1,204.05599999999998,129.408,52.828,137.72899999999998,269.964,148.438,85.135,15.550999999999998,209.15599999999998,27.958000000000002,146.898,39.471,218.843,41.78,191.78900000000002,53.968999999999994,116.322,61.526,245.601,62.998000000000005,185.25799999999998,65.997,209.55599999999998,66.318,234.84900000000002,69.053,111.72,69.952,73.878,73.693,136.393,75.818,143.607,80.35300000000001,184.99,80.638,223.447,81.51899999999999,86.785,85.175,242.703,85.40700000000001,104.21799999999999,86.406,,,,,,,,,,,,,,,,,,,,,,,,,,
171.25,685.0,,125.057,95.10600000000001,82.955,97.514,96.321,100.55,119.24,104.91799999999999,53.373999999999995,108.823,204.227,113.15299999999999,109.199,114.166,73.805,120.052,282.10200000000003,120.072,203.979,129.469,52.748999999999995,137.756,270.009,148.369,85.079,15.493,209.167,27.968000000000004,146.786,39.405,218.935,41.806000000000004,191.695,54.071999999999996,116.333,61.518,245.6,62.998999999999995,185.234,65.858,209.52900000000002,66.441,234.84900000000002,69.074,111.601,69.98100000000001,74.047,73.805,136.341,75.852,143.44799999999998,80.24,185.00599999999997,80.62100000000001,223.5,81.266,86.82600000000001,85.34200000000001,242.69799999999998,85.427,104.34200000000001,86.411,,,,,,,,,,,,,,,,,,,,,,,,,,
171.5,686.0,,,,83.009,97.59899999999999,96.36,100.539,119.199,104.806,53.446000000000005,108.81299999999999,204.22799999999998,113.164,109.204,114.15,73.84,120.054,282.101,120.094,203.65400000000002,127.792,52.783,137.672,270.05,148.4,85.035,15.472999999999999,209.178,27.978,146.66299999999998,39.504,219.123,41.841,191.671,54.098,116.48,61.458,245.61599999999999,62.994,185.12,65.842,209.49900000000002,66.536,234.877,69.077,111.609,69.863,74.17,73.881,136.386,76.116,143.46200000000002,80.275,184.98,80.632,223.43099999999998,81.384,86.727,85.38799999999999,242.66,85.45200000000001,104.4,86.55,,,,,,,,,,,,,,,,,,,,,,,,,,
171.75,687.0,,,,82.99799999999999,97.59899999999999,96.291,100.531,119.18700000000001,104.82,53.48,108.876,204.252,113.226,109.23299999999999,114.119,73.91,120.01100000000001,282.119,120.119,203.782,127.124,52.74,137.64,270.177,148.36700000000002,84.96600000000001,15.457,209.203,27.941,146.768,39.556,219.476,41.856,191.673,54.049,116.755,61.228,245.58900000000003,62.996,185.00400000000002,65.87899999999999,209.52700000000002,66.457,234.86700000000002,69.077,111.484,69.984,74.22800000000001,73.72800000000001,136.28799999999998,76.1,143.497,80.293,185.012,80.578,223.354,81.395,86.67399999999999,85.30799999999999,242.63299999999998,85.432,104.416,86.49,,,,,,,,,,,,,,,,,,,,,,,,,,
