TimesH,Frame,NoMissing,53,53,127,127,202,202,228,228,249,249,252,252,256,256,284,284,306,306,307,307,333,333,418,418,477,477,616,616,786,786,862,862,901,901,905,905,926,926,929,929,949,949,1052,1052,1061,1061,1089,1089
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
169.0,676.0,,47.891999999999996,143.125,216.38,61.122,142.17700000000002,103.329,126.684,141.158,256.661,82.229,91.685,82.604,112.37799999999999,85.525,178.463,100.079,80.55,95.79299999999999,122.471,96.006,252.271,111.46600000000001,,,,,,,,,,,,,,,,,,,,,,,,,,
169.25,677.0,,47.847,143.239,216.357,61.12,142.179,103.334,126.75299999999999,141.034,256.54900000000004,82.323,91.75299999999999,82.72200000000001,112.46600000000001,85.345,178.43200000000002,100.005,80.559,95.78399999999999,122.47200000000001,95.954,252.34599999999998,111.522,,,,,,,,,,,,,,,,,,,,,,,,,,
169.5,678.0,,47.871,143.09,216.363,61.131,142.226,103.38799999999999,126.70200000000001,141.119,256.52099999999996,82.375,91.679,82.665,112.355,85.412,178.50599999999997,100.51899999999999,80.632,95.87299999999999,122.434,95.945,252.35,111.50299999999999,201.989,85.52,,,,,,,,,,,,,,,,,,,,,,,,
169.75,679.0,,47.879,143.066,216.387,61.126999999999995,142.19,103.569,126.822,141.175,256.532,82.366,91.71,82.774,112.37100000000001,85.4,178.565,100.618,80.7,95.884,122.448,95.935,252.139,111.485,201.50900000000001,84.524,,,,,,,,,,,,,,,,,,,,,,,,
170.0,680.0,,47.972,143.159,216.36900000000003,61.14,142.232,103.60700000000001,126.8,141.434,256.582,82.425,91.719,82.74700000000001,112.37899999999999,85.43299999999999,178.574,100.6,80.689,95.89299999999999,122.443,95.906,252.09900000000002,111.45,,,,,,,,,,,,,,,,,,,,,,,,,,
170.25,681.0,,48.049,143.263,216.388,61.159,142.268,103.602,126.765,141.36700000000002,256.37,82.197,91.677,82.67,112.42200000000001,85.29700000000001,178.766,100.84,80.729,95.988,122.47,95.895,251.947,111.65700000000001,201.606,85.12299999999999,,,,,,,,,,,,,,,,,,,,,,,,
170.5,682.0,,47.901,143.37,216.36700000000002,61.156000000000006,142.384,103.71600000000001,125.98,142.72,256.675,82.404,91.682,82.615,112.303,85.581,178.607,100.67,81.196,96.02,122.426,95.889,251.983,111.80799999999999,201.57,84.818,,,,,,,,,,,,,,,,,,,,,,,,
170.75,683.0,,47.918,143.41899999999998,216.394,61.163000000000004,142.55100000000002,103.816,125.772,143.52,256.676,82.346,91.697,82.65299999999999,112.289,85.662,178.83599999999998,100.535,81.02,96.05799999999999,122.434,95.90799999999999,252.074,111.736,201.644,84.945,192.203,53.891999999999996,,,,,,,,,,,,,,,,,,,,,,
171.0,684.0,,47.903999999999996,143.279,216.425,61.141000000000005,142.422,103.934,125.88600000000001,143.375,256.629,82.428,91.723,82.661,112.242,85.708,179.021,100.671,80.906,96.07,122.441,95.88799999999999,251.987,111.458,201.58700000000002,84.46600000000001,192.16400000000002,53.423,,,,,,,,,,,,,,,,,,,,,,
171.25,685.0,,47.941,143.263,216.41299999999998,61.143,142.361,103.898,125.95100000000001,143.094,256.58099999999996,82.32600000000001,91.779,82.51799999999999,112.17399999999999,85.64200000000001,179.222,100.84299999999999,81.289,96.057,122.416,95.865,251.99599999999998,111.397,201.842,84.854,192.185,53.495,,,,,,,,,,,,,,,,,,,,,,
171.5,686.0,,48.00899999999999,143.466,216.394,61.143,142.326,103.87200000000001,125.87100000000001,143.254,256.51099999999997,82.20700000000001,91.87700000000001,82.758,112.145,85.727,179.261,100.745,81.461,96.07700000000001,122.443,95.86399999999999,252.019,111.441,202.12099999999998,85.318,192.16099999999997,54.05,,,,,,,,,,,,,,,,,,,,,,
171.75,687.0,,48.151,143.869,216.40400000000002,61.128,142.30200000000002,103.92399999999999,126.045,143.004,256.624,82.27,91.84,83.038,112.20100000000001,85.77600000000001,179.37900000000002,101.068,81.586,95.95100000000001,122.48100000000001,95.885,251.882,111.37799999999999,202.04,85.16799999999999,191.986,53.361000000000004,,,,,,,,,,,,,,,,,,,,,,
172.0,688.0,,48.008,143.47899999999998,216.398,61.135,142.32399999999998,103.95,125.975,143.215,256.718,82.329,91.774,82.947,112.154,85.721,179.468,101.221,81.692,95.914,122.461,95.885,252.049,111.381,202.067,85.204,192.05599999999998,53.276,,,,,,,,,,,,,,,,,,,,,,
172.25,689.0,,48.043,143.44299999999998,216.363,61.145,142.421,103.956,125.929,143.322,256.683,82.41,91.829,82.781,112.1,85.807,179.46200000000002,101.40700000000001,81.753,95.94200000000001,122.45299999999999,95.85600000000001,251.93099999999998,111.431,201.984,85.098,191.96599999999998,53.223,,,,,,,,,,,,,,,,,,,,,,
172.5,690.0,,48.055,143.43,216.33700000000002,61.14,142.391,103.984,125.88799999999999,143.287,256.647,82.366,91.81700000000001,82.667,112.19,85.574,179.333,101.277,81.876,95.96600000000001,122.449,95.79,251.925,111.399,201.915,85.145,191.919,52.983000000000004,,,,,,,,,,,,,,,,,,,,,,
172.75,691.0,,48.086999999999996,143.595,216.328,61.153999999999996,142.27700000000002,104.045,125.986,143.097,256.73400000000004,82.322,91.743,83.046,112.287,85.62799999999999,179.31900000000002,101.26299999999999,81.845,95.913,122.491,95.848,251.845,111.45200000000001,201.972,85.23200000000001,191.90099999999998,52.823,,,,,,,,,,,,,,,,,,,,,,
173.0,692.0,,48.082,143.47299999999998,216.303,61.157,142.311,104.03,126.008,143.171,256.6,82.441,91.755,82.936,112.32600000000001,85.664,179.35299999999998,101.35700000000001,81.736,95.816,122.454,95.84100000000001,251.903,111.366,201.967,85.31299999999999,191.75099999999998,53.35,,,,,,,,,,,,,,,,,,,,,,
173.25,693.0,,48.156000000000006,143.42600000000002,216.32,61.148,142.30200000000002,104.133,125.89399999999999,143.404,256.70599999999996,82.646,91.785,82.77799999999999,112.348,85.52799999999999,179.176,101.51299999999999,81.883,95.787,122.479,95.823,251.805,111.338,202.00099999999998,85.382,191.669,52.995,,,,,,,,,,,,,,,,,,,,,,
173.5,694.0,,48.09,143.338,216.324,61.161,142.197,104.161,125.969,143.305,256.603,82.632,91.756,82.82,112.258,85.26700000000001,179.298,101.48,81.616,95.90899999999999,122.539,95.905,251.84599999999998,111.381,201.96,85.305,191.403,52.489,,,,,,,,,,,,,,,,,,,,,,
