TimesH,Frame,3,8,15,19,33,40,44,48,60,65,81,104,111,119,121,123,126,127,132,133,136,143,147,151,156,157,160,163,165,170,173,174,180,184,185,187,189,190,193,194,198,206,214,215,217,220,221,222,227,229,233,234,235,262,267,270,271,272,284,286,288,292,293,906,1031,1107,1241,1384
2.25,9.0,617.8919999999999,614.216,613.1080000000001,613.0,617.784,617.568,610.9730000000001,615.73,610.486,614.378,615.378,620.135,612.865,619.919,616.297,615.351,612.216,618.73,611.622,618.595,614.8380000000001,616.1619999999999,613.649,615.6759999999999,614.9730000000001,615.568,612.216,613.135,611.8380000000001,613.946,613.784,610.9730000000001,617.0269999999999,615.0269999999999,617.919,616.081,613.135,613.703,612.432,618.054,618.568,621.351,610.297,616.1080000000001,613.73,618.784,615.5409999999999,612.1080000000001,618.6759999999999,614.568,618.243,610.27,620.432,611.73,612.0269999999999,612.5409999999999,611.8919999999999,614.189,612.351,612.297,612.0269999999999,611.946,611.3240000000001,,,,,
2.5,10.0,617.919,613.865,613.811,612.514,617.568,616.757,611.5409999999999,616.405,610.703,614.514,614.243,619.811,613.757,620.4590000000001,616.0269999999999,614.8919999999999,612.1619999999999,618.432,610.432,619.432,615.73,615.757,612.919,616.27,614.919,614.784,612.1080000000001,612.432,612.0,613.378,613.865,610.784,617.703,615.351,617.297,616.378,612.189,613.351,613.243,617.568,618.8380000000001,620.649,610.5409999999999,616.595,614.243,618.216,615.432,612.135,618.4590000000001,613.405,617.8919999999999,610.3240000000001,620.73,611.405,612.757,613.297,612.73,613.405,611.0,612.297,611.946,612.1619999999999,611.568,,,,,
2.75,11.0,616.73,614.4590000000001,613.514,612.6759999999999,617.514,617.1080000000001,610.8919999999999,616.216,610.649,614.378,615.351,619.8380000000001,613.297,619.405,616.1080000000001,617.243,611.432,617.946,611.703,618.784,615.9730000000001,616.4590000000001,614.297,616.405,615.649,614.8919999999999,611.486,612.243,611.865,613.811,613.27,611.3240000000001,618.135,615.189,617.378,616.189,612.703,612.703,612.946,617.703,619.0269999999999,621.0,609.703,617.1619999999999,613.1080000000001,618.0,615.8919999999999,612.568,619.054,614.1080000000001,618.486,610.8380000000001,620.243,611.3240000000001,611.4590000000001,612.189,612.135,614.622,611.919,611.757,611.703,611.297,611.4590000000001,,,,,
3.0,12.0,616.27,614.784,613.1080000000001,612.081,617.595,616.9730000000001,611.1080000000001,615.919,610.73,614.757,615.297,619.8919999999999,613.8919999999999,620.405,616.784,615.8380000000001,611.622,618.8919999999999,612.135,618.9730000000001,615.4590000000001,616.081,614.1080000000001,615.351,614.784,615.514,612.1080000000001,612.189,611.622,614.405,614.405,611.1619999999999,617.8380000000001,615.946,615.568,616.514,613.351,612.811,612.703,617.8919999999999,618.5409999999999,621.216,610.27,616.8380000000001,613.568,618.3240000000001,615.216,612.432,619.27,614.297,619.189,610.297,620.1080000000001,611.351,612.703,613.27,611.568,613.9730000000001,612.8380000000001,611.865,611.351,612.378,612.189,,,,,
3.25,13.0,615.865,614.1080000000001,613.8919999999999,612.73,617.297,617.1080000000001,610.595,615.595,610.946,614.568,614.27,620.1080000000001,613.432,620.3240000000001,616.703,614.946,611.189,618.1080000000001,611.703,619.378,615.4590000000001,614.757,613.8380000000001,616.946,614.0269999999999,614.5409999999999,612.1080000000001,612.6759999999999,611.568,613.8919999999999,614.405,611.865,618.216,615.216,616.946,615.9730000000001,613.5409999999999,613.3240000000001,612.432,618.054,618.351,620.865,611.0,617.135,612.919,618.3240000000001,615.757,611.8380000000001,619.432,613.6759999999999,617.703,610.4590000000001,620.5409999999999,611.081,612.1080000000001,613.8919999999999,612.054,613.784,611.73,611.8380000000001,612.6759999999999,611.432,611.486,,,,,
3.5,14.0,616.3240000000001,613.865,613.405,612.054,617.8380000000001,617.3240000000001,611.189,616.054,610.865,614.378,615.243,619.5409999999999,613.622,621.081,616.865,614.865,611.486,619.622,611.514,619.784,615.703,615.622,613.27,615.514,614.9730000000001,615.297,612.297,612.946,612.3240000000001,614.189,613.811,611.189,617.73,615.216,617.135,617.0,612.595,613.595,612.568,618.216,619.622,620.9730000000001,610.27,616.8380000000001,613.757,618.649,614.703,611.649,618.3240000000001,613.568,618.919,610.595,620.27,610.6759999999999,612.486,613.432,611.6759999999999,613.919,611.919,612.5409999999999,612.054,611.6759999999999,610.703,,,,,
3.75,15.0,616.1619999999999,614.5409999999999,614.27,611.703,617.703,617.0269999999999,611.054,615.919,610.6759999999999,615.1619999999999,614.919,619.9730000000001,614.135,621.405,616.432,615.486,612.4590000000001,619.243,612.1619999999999,618.757,615.5409999999999,616.0,614.0,616.27,614.243,615.3240000000001,612.1619999999999,612.432,612.514,613.811,613.8919999999999,611.811,618.081,614.8380000000001,617.297,616.243,613.649,612.8919999999999,612.8919999999999,618.1080000000001,619.27,621.5409999999999,609.865,617.1619999999999,613.243,618.054,615.811,612.27,618.189,613.378,619.054,610.919,620.27,611.486,611.703,612.6759999999999,612.0,613.432,612.054,611.432,612.0269999999999,611.1619999999999,611.1619999999999,,,,,
4.0,16.0,616.6759999999999,614.1619999999999,613.568,612.351,617.622,617.649,610.378,615.649,610.405,614.351,615.1619999999999,619.919,614.378,621.703,617.432,615.946,612.622,618.8380000000001,611.5409999999999,619.27,616.054,615.4590000000001,613.8919999999999,615.5409999999999,614.297,614.73,611.8919999999999,613.1619999999999,611.9730000000001,614.595,614.189,611.568,617.9730000000001,615.568,617.1619999999999,616.135,613.432,613.1619999999999,612.568,617.486,618.703,620.405,610.5409999999999,617.4590000000001,613.73,619.0,615.216,612.865,618.568,613.73,619.135,610.568,620.946,612.081,612.1080000000001,613.243,612.405,614.1080000000001,611.946,612.405,612.243,611.595,610.919,,,,,
4.25,17.0,617.081,614.757,613.4590000000001,612.8919999999999,618.1619999999999,616.649,611.5409999999999,616.0,610.216,614.135,615.297,619.216,614.0,620.784,616.865,615.189,611.568,618.595,611.946,620.73,615.297,616.081,613.784,615.703,615.1080000000001,616.1619999999999,611.649,613.568,611.6759999999999,613.595,614.568,611.378,618.514,615.622,616.622,617.622,612.8919999999999,613.297,613.135,617.8380000000001,619.5409999999999,620.135,609.703,617.081,613.405,618.216,615.514,612.5409999999999,619.649,613.6759999999999,617.757,611.1619999999999,620.189,611.0269999999999,611.8380000000001,613.811,611.757,613.865,612.919,611.405,612.189,611.216,611.811,,,,,
4.5,18.0,617.811,614.351,613.784,612.405,617.5409999999999,617.0,611.73,616.351,610.8380000000001,614.486,615.081,621.189,613.4590000000001,621.514,616.919,615.946,612.1080000000001,619.081,611.622,620.0269999999999,615.8380000000001,616.1080000000001,614.0269999999999,615.703,614.865,615.4590000000001,612.054,612.0,611.8380000000001,614.297,614.514,611.703,618.486,615.297,616.486,616.919,613.1080000000001,613.865,612.8380000000001,617.703,618.4590000000001,620.9730000000001,610.081,616.27,614.189,618.0269999999999,615.514,612.568,619.946,612.9730000000001,618.8380000000001,610.351,620.919,611.6759999999999,611.6759999999999,613.297,611.919,614.0,612.649,611.703,611.189,610.4590000000001,611.405,,,,,
