TimesH,Frame,NoMissing,0,0,4,4,6,6,7,7,14,14,16,16,18,18,19,19,31,31,33,33,36,36,38,38,46,46,47,47,48,48,51,51,52,52,54,54,57,57,58,58,61,61,66,66,75,75,89,89,91,91,92,92,94,94,106,106,144,144,146,146,156,156,159,159,161,161,173,173,182,182,186,186,189,189,196,196,201,201,206,206,209,209,219,219,221,221,222,222,227,227,228,228,229,229,230,230,231,231,233,233,234,234,393,393,410,410,443,443,652,652,1068,1068
,,Place_Cursor,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y,X,Y
168.5,674.0,,295.737,87.374,165.21,80.64,295.871,79.745,109.516,80.918,350.596,87.999,190.959,97.98100000000001,309.858,96.208,152.828,97.865,73.554,98.735,338.514,64.933,34.684,61.157,52.823,59.911,113.42399999999999,67.742,67.211,75.418,128.504,74.657,39.148,73.264,46.508,72.76899999999999,24.743000000000002,72.774,146.174,78.51,314.51,79.018,156.955,75.066,243.023,42.755,232.22299999999998,44.555,25.526999999999997,56.827,247.792,56.562,325.039,56.033,310.461,55.449,239.15099999999998,31.831,91.00299999999999,149.746,240.525,148.977,221.22099999999998,152.744,103.29700000000001,171.96900000000002,121.322,167.283,224.824,124.844,205.106,129.885,253.641,126.566,105.65,140.126,156.232,133.131,116.14,142.939,149.722,105.795,292.498,103.52,128.35299999999998,106.512,216.75799999999998,115.928,227.96599999999998,116.889,159.613,112.911,268.928,112.696,202.785,120.45200000000001,131.59,120.60700000000001,143.156,119.75299999999999,73.975,118.725,123.354,117.973,,,,,,,,,,
168.75,675.0,,295.73,87.375,165.232,80.655,295.945,79.77,109.557,81.105,350.586,87.98200000000001,190.916,98.025,309.816,96.195,152.795,97.87899999999999,73.601,98.64200000000001,338.522,64.944,34.691,61.181000000000004,52.818999999999996,59.887,113.427,67.729,67.223,75.416,128.493,74.562,39.199,73.29899999999999,46.51,72.751,24.76,72.771,146.179,78.502,314.436,79.025,156.957,75.047,242.972,42.793,232.23,44.545,25.413,56.88399999999999,247.55200000000002,56.541000000000004,325.051,56.038000000000004,310.41900000000004,55.497,239.168,31.858,91.016,149.744,240.52900000000002,148.986,221.21200000000002,152.724,103.303,171.97099999999998,121.355,167.262,224.852,124.87100000000001,205.136,129.904,253.65400000000002,126.572,105.65899999999999,140.129,156.326,133.106,116.18,142.946,149.734,105.807,292.51099999999997,103.529,128.358,106.51700000000001,216.72,115.928,227.954,116.899,159.643,112.90799999999999,268.856,112.824,202.676,120.469,131.636,120.626,142.94899999999998,119.809,73.967,118.735,123.443,118.01700000000001,,,,,,,,,,
169.0,676.0,,295.723,87.37899999999999,165.264,80.66199999999999,295.941,79.798,109.539,81.319,350.598,88.01700000000001,190.956,97.98899999999999,309.785,96.18700000000001,152.79,97.81299999999999,71.846,99.01299999999999,338.494,64.943,34.694,61.16,52.82,59.917,113.389,67.774,67.206,75.423,128.361,74.642,39.16,73.3,46.497,72.785,24.828000000000003,72.76,146.17600000000002,78.5,314.4,79.044,156.954,75.044,242.953,42.757,232.22299999999998,44.55,25.476999999999997,56.861999999999995,247.296,56.477,325.013,56.045,310.41,55.483999999999995,239.166,31.848000000000003,91.016,149.739,240.523,148.981,221.208,152.71,103.303,171.97299999999998,121.37100000000001,167.274,224.9,124.86399999999999,205.115,129.923,253.65,126.587,105.663,140.13,156.35399999999998,133.083,116.189,142.961,149.735,105.80799999999999,292.512,103.52,128.399,106.429,216.791,115.93,227.959,116.89299999999999,159.649,112.905,268.9,112.759,202.507,120.39299999999999,131.645,120.573,143.065,119.859,74.005,118.6,123.463,118.01700000000001,,,,,,,,,,
169.25,677.0,,295.717,87.382,165.28799999999998,80.689,295.92,79.764,109.7,81.346,350.481,88.074,190.92700000000002,97.961,309.759,96.191,152.765,97.72,72.242,98.984,338.49800000000005,64.92699999999999,34.744,61.107,52.806000000000004,59.891999999999996,113.369,67.765,67.194,75.418,128.31799999999998,74.65100000000001,39.196999999999996,73.374,46.482,72.76899999999999,24.802,72.77600000000001,146.196,78.498,314.341,79.07,156.954,75.059,242.912,42.732,232.22799999999998,44.551,25.6,56.858000000000004,247.269,56.54600000000001,325.041,56.059,310.41200000000003,55.463,239.169,31.855,90.992,149.756,240.518,148.985,221.19,152.705,103.309,171.97400000000002,121.352,167.261,224.938,124.866,205.12400000000002,129.94299999999998,253.65200000000002,126.595,105.666,140.127,156.38,133.139,116.166,142.966,149.738,105.82,292.52099999999996,103.506,128.293,106.51100000000001,216.83900000000003,115.895,227.96900000000002,116.88600000000001,159.659,112.9,268.83,112.74,202.542,120.411,131.667,120.561,142.762,119.85700000000001,73.987,118.699,123.516,118.008,,,,,,,,,,
169.5,678.0,,295.70599999999996,87.37700000000001,165.299,80.694,295.95,79.78399999999999,109.75,81.533,350.527,88.01799999999999,191.0,97.92399999999999,309.721,96.18700000000001,152.78799999999998,97.665,72.214,98.95700000000001,338.459,64.92699999999999,34.765,61.126999999999995,52.812,59.891999999999996,113.42200000000001,67.76899999999999,67.191,75.399,128.363,74.617,39.15,73.35300000000001,46.492,72.775,24.789,72.764,146.192,78.499,314.319,79.093,156.953,75.066,242.889,42.758,232.239,44.548,25.513,56.864,247.282,56.474,325.033,56.068999999999996,310.35200000000003,55.347,239.143,31.881999999999998,90.999,149.757,240.521,148.982,221.175,152.707,103.31299999999999,171.965,121.348,167.267,224.983,124.87,205.13,129.942,253.66400000000002,126.605,105.666,140.126,156.39700000000002,133.22899999999998,116.164,142.968,149.733,105.81700000000001,292.531,103.50200000000001,128.366,106.50399999999999,216.878,115.917,227.972,116.876,159.674,112.891,268.806,112.575,202.472,120.529,131.708,120.52,142.778,119.822,73.964,118.77,123.492,118.041,,,,,,,,,,
169.75,679.0,,295.711,87.374,165.305,80.699,295.873,79.742,109.708,81.516,350.483,88.04799999999999,191.02200000000002,97.947,309.7,96.171,152.828,97.76899999999999,73.0,99.0,338.472,64.90899999999999,34.779,61.101000000000006,52.83,59.88399999999999,113.414,67.756,67.184,75.39699999999999,128.418,74.675,39.164,73.355,46.516000000000005,72.779,24.785999999999998,72.768,146.194,78.497,314.35,79.068,156.95600000000002,75.056,242.924,42.75899999999999,232.237,44.542,25.513,56.868,247.31,56.478,325.055,56.083999999999996,310.342,55.376000000000005,239.171,31.883000000000003,91.0,149.753,240.52,148.991,221.173,152.691,103.311,171.97400000000002,121.34,167.227,224.955,124.85,205.13299999999998,129.95,253.699,126.62200000000001,105.66,140.122,156.377,133.201,116.17299999999999,142.966,149.75799999999998,105.821,292.53,103.507,128.377,106.501,216.87900000000002,115.94,227.99099999999999,116.874,159.686,112.885,268.85,112.664,202.50900000000001,120.461,131.74200000000002,120.49600000000001,142.8,119.82600000000001,73.971,118.852,123.414,118.045,,,,,,,,,,
170.0,680.0,,295.699,87.37799999999999,165.32,80.707,295.758,79.72399999999999,109.70200000000001,81.32,350.523,88.10799999999999,190.937,97.88600000000001,309.716,96.191,152.63299999999998,97.61399999999999,73.0,99.0,338.42900000000003,64.929,34.778,61.159,52.847,59.87,113.4,67.779,67.188,75.389,128.41899999999998,74.7,39.241,73.389,46.51,72.763,24.779,72.773,146.207,78.48899999999999,314.37,79.054,156.957,75.043,242.872,42.766999999999996,232.23,44.533,25.62,56.869,247.354,56.568999999999996,325.128,56.146,310.403,55.363,239.162,31.893,91.031,149.775,240.525,148.996,221.16,152.672,103.318,171.97299999999998,121.33,167.218,224.91099999999997,124.821,205.138,129.95,253.71400000000003,126.62200000000001,105.662,140.115,156.493,133.27200000000002,116.18700000000001,142.967,149.744,105.81700000000001,292.534,103.508,128.47799999999998,106.45100000000001,216.864,115.935,228.00400000000002,116.87700000000001,159.69799999999998,112.87299999999999,268.85400000000004,112.654,202.56900000000002,120.461,131.719,120.50200000000001,142.769,119.834,73.98,118.823,123.53299999999999,117.979,,,,,,,,,,
170.25,681.0,,295.699,87.382,165.317,80.703,295.76599999999996,79.681,109.70200000000001,81.499,350.504,88.071,190.87900000000002,97.977,309.726,96.165,152.565,97.54700000000001,73.625,98.727,338.431,64.933,34.751999999999995,61.20399999999999,52.863,59.871,113.38,67.816,67.167,75.388,128.47899999999998,74.637,39.244,73.416,46.50899999999999,72.777,24.758000000000003,72.78699999999999,146.21,78.488,314.357,79.055,156.947,75.042,242.859,42.739,232.22799999999998,44.536,25.791,56.835,247.209,56.4,325.16700000000003,56.18899999999999,310.368,55.383,239.175,31.897,91.025,149.774,240.52700000000002,148.997,221.179,152.67700000000002,103.32,171.968,121.346,167.205,224.986,124.863,205.12900000000002,129.93200000000002,253.699,126.615,105.66799999999999,140.112,156.458,133.245,116.206,142.97,149.756,105.819,292.52,103.50399999999999,128.532,106.42299999999999,216.80900000000003,115.921,228.012,116.883,159.707,112.867,268.909,112.684,202.52200000000002,120.441,131.739,120.491,142.69,119.814,73.95100000000001,118.89399999999999,123.398,117.979,,,,,,,,,,
170.5,682.0,,295.697,87.375,165.312,80.692,295.698,79.676,109.764,81.514,350.56300000000005,88.07799999999999,190.882,97.98200000000001,309.723,96.211,152.595,97.494,73.28699999999999,98.859,338.411,64.93,34.75,61.239,52.861999999999995,59.876000000000005,113.399,67.91199999999999,67.155,75.391,128.506,74.611,39.088,73.377,46.493,72.812,24.747,72.79,146.213,78.487,314.275,79.06,156.94799999999998,75.06,242.93900000000002,42.711999999999996,232.22799999999998,44.545,25.73,56.832,247.148,56.403999999999996,325.188,56.233999999999995,310.52,55.356,239.173,31.910999999999998,91.007,149.8,240.53099999999998,149.007,221.19299999999998,152.667,103.324,171.977,121.351,167.19799999999998,225.085,124.89,205.137,129.931,253.71599999999998,126.62899999999999,105.671,140.121,156.433,133.243,116.19200000000001,142.946,149.77,105.821,292.526,103.51,128.55200000000002,106.354,216.81599999999997,115.90700000000001,228.018,116.882,159.72899999999998,112.868,269.041,112.66799999999999,202.511,120.512,131.73,120.49799999999999,142.593,119.90299999999999,73.939,118.821,123.46600000000001,117.988,,,,,,,,,,
170.75,683.0,,295.699,87.37100000000001,165.322,80.72,295.44599999999997,79.65,109.93299999999999,81.543,350.639,88.04700000000001,190.87599999999998,97.984,309.694,96.208,152.60399999999998,97.479,73.502,98.807,338.369,64.939,34.738,61.29,52.843,59.843999999999994,113.38600000000001,67.937,67.18,75.398,128.475,74.604,39.17,73.32300000000001,46.506,72.808,24.655,72.798,146.217,78.482,314.21,79.094,156.951,75.056,243.028,42.688,232.213,44.553000000000004,25.923000000000002,56.803999999999995,247.115,56.363,325.19,56.251000000000005,310.51,55.391000000000005,239.15200000000002,31.913,91.009,149.798,240.53900000000002,149.009,221.195,152.662,103.32700000000001,171.986,121.352,167.19099999999997,225.15,124.94200000000001,205.14700000000002,129.91899999999998,253.709,126.62700000000001,105.684,140.12,156.463,133.236,116.226,142.947,149.767,105.819,292.555,103.50399999999999,128.524,106.383,216.86900000000003,115.919,228.035,116.87899999999999,159.747,112.85600000000001,269.10200000000003,112.70200000000001,202.274,120.419,131.731,120.492,142.56799999999998,119.84299999999999,73.866,118.925,123.515,117.97200000000001,,,,,,,,,,
